t,Sensor V [V],Control T [K],Control V [V],Heater Range [a.u.],Heater % [a.u.],Setpoint T [K]
1562352606.5800717,+0.5722,+295.6,+0.5294,0,000,+001.65
1562352628.6055317,+0.5722,+295.6,+0.5294,0,000,+001.65
1562352650.631239,+0.5722,+295.6,+0.5294,0,000,+001.65
1562352672.657013,+0.5722,+295.6,+0.5294,0,000,+001.65
1562352694.6827679,+0.5722,+295.6,+0.5294,0,000,+001.65
1562352716.7080898,+0.5722,+295.6,+0.5294,0,000,+001.65
1562352738.7337153,+0.5722,+295.6,+0.5294,0,000,+001.65
1562352760.759373,+0.5722,+295.6,+0.5294,0,000,+001.65
1562352782.7850196,+0.5722,+295.6,+0.5294,0,000,+001.65
1562352804.8105834,+0.5722,+295.6,+0.5295,0,000,+001.65
1562352826.836292,+0.5722,+295.6,+0.5295,0,000,+001.65
1562352848.8619835,+0.5722,+295.6,+0.5295,0,000,+001.65
1562352870.8875074,+0.5723,+295.6,+0.5295,0,000,+001.65
1562352892.912968,+0.5723,+295.6,+0.5295,0,000,+001.65
1562352914.9384239,+0.5723,+295.6,+0.5295,0,000,+001.65
1562352936.9641287,+0.5723,+295.6,+0.5295,0,000,+001.65
1562352958.9898577,+0.5723,+295.6,+0.5295,0,000,+001.65
1562352981.0156083,+0.5723,+295.6,+0.5295,0,000,+001.65
1562353003.0413756,+0.5723,+295.6,+0.5295,0,000,+001.65
1562353025.0671332,+0.5723,+295.6,+0.5295,0,000,+001.65
1562353047.0927029,+0.5723,+295.6,+0.5295,0,000,+001.65
1562353069.1184165,+0.5723,+295.6,+0.5295,0,000,+001.65
1562353091.143962,+0.5723,+295.6,+0.5295,0,000,+001.65
1562353113.1696591,+0.5723,+295.6,+0.5295,0,000,+001.65
1562353135.195377,+0.5723,+295.6,+0.5296,0,000,+001.65
1562353157.2209828,+0.5723,+295.6,+0.5296,0,000,+001.65
1562353179.2467113,+0.5723,+295.6,+0.5296,0,000,+001.65
1562353201.272451,+0.5723,+295.6,+0.5296,0,000,+001.65
1562353223.2979956,+0.5723,+295.6,+0.5296,0,000,+001.65
1562353245.3237,+0.5723,+295.6,+0.5296,0,000,+001.65
1562353267.349419,+0.5724,+295.6,+0.5296,0,000,+001.65
1562353289.3749745,+0.5724,+295.5,+0.5296,0,000,+001.65
1562353311.4006562,+0.5724,+295.5,+0.5296,0,000,+001.65
1562353333.4262223,+0.5724,+295.5,+0.5296,0,000,+001.65
1562353355.4519558,+0.5724,+295.5,+0.5296,0,000,+001.65
1562353377.4777384,+0.5724,+295.5,+0.5296,0,000,+001.65
1562353399.5034308,+0.5724,+295.5,+0.5296,0,000,+001.65
1562353421.5290399,+0.5724,+295.5,+0.5296,0,000,+001.65
1562353443.5546741,+0.5724,+295.5,+0.5296,0,000,+001.65
1562353465.580226,+0.5724,+295.5,+0.5296,0,000,+001.65
1562353487.6059597,+0.5724,+295.5,+0.5296,0,000,+001.65
1562353509.6313515,+0.5724,+295.5,+0.5296,0,000,+001.65
1562353531.6567729,+0.5724,+295.5,+0.5296,0,000,+001.65
1562353553.6823556,+0.5724,+295.5,+0.5296,0,000,+001.65
1562353575.7078195,+0.5724,+295.5,+0.5296,0,000,+001.65
1562353597.7333,+0.5724,+295.5,+0.5296,0,000,+001.65
1562353619.7587218,+0.5724,+295.5,+0.5296,0,000,+001.65
1562353641.7841725,+0.5724,+295.5,+0.5296,0,000,+001.65
1562353663.8095915,+0.5724,+295.5,+0.5296,0,000,+001.65
1562353685.8343756,+0.5724,+295.5,+0.5296,0,000,+001.65
1562353707.8596659,+0.5724,+295.5,+0.5296,0,000,+001.65
1562353729.8851166,+0.5724,+295.5,+0.5296,0,000,+001.65
1562353751.9107525,+0.5724,+295.5,+0.5296,0,000,+001.65
1562353773.9362493,+0.5724,+295.5,+0.5296,0,000,+001.65
1562353795.9618812,+0.5724,+295.5,+0.5296,0,000,+001.65
1562353817.9872363,+0.5724,+295.5,+0.5296,0,000,+001.65
1562353840.0127623,+0.5724,+295.5,+0.5296,0,000,+001.65
1562353862.0382762,+0.5724,+295.5,+0.5296,0,000,+001.65
1562353884.063672,+0.5724,+295.5,+0.5297,0,000,+001.65
1562353906.0890205,+0.5724,+295.5,+0.5297,0,000,+001.65
1562353928.1144817,+0.5724,+295.5,+0.5297,0,000,+001.65
1562353950.1400342,+0.5724,+295.5,+0.5297,0,000,+001.65
1562353972.16572,+0.5724,+295.5,+0.5297,0,000,+001.65
1562353994.191057,+0.5724,+295.5,+0.5297,0,000,+001.65
1562354016.216575,+0.5724,+295.5,+0.5297,0,000,+001.65
1562354038.2419999,+0.5724,+295.5,+0.5297,0,000,+001.65
1562354060.2673285,+0.5724,+295.5,+0.5297,0,000,+001.65
1562354082.2924862,+0.5724,+295.5,+0.5297,0,000,+001.65
1562354104.31787,+0.5724,+295.5,+0.5297,0,000,+001.65
1562354126.3434746,+0.5724,+295.5,+0.5297,0,000,+001.65
1562354148.3691785,+0.5724,+295.5,+0.5297,0,000,+001.65
1562354170.3947237,+0.5724,+295.5,+0.5297,0,000,+001.65
1562354192.4203296,+0.5724,+295.5,+0.5297,0,000,+001.65
1562354214.4459991,+0.5724,+295.5,+0.5297,0,000,+001.65
1562354236.4715872,+0.5724,+295.5,+0.5297,0,000,+001.65
1562354258.497311,+0.5725,+295.5,+0.5297,0,000,+001.65
1562354280.523048,+0.5725,+295.5,+0.5297,0,000,+001.65
1562354302.54877,+0.5725,+295.5,+0.5297,0,000,+001.65
1562354324.5744853,+0.5725,+295.5,+0.5297,0,000,+001.65
1562354346.6002014,+0.5725,+295.5,+0.5297,0,000,+001.65
1562354368.6257918,+0.5725,+295.5,+0.5297,0,000,+001.65
1562354390.6515243,+0.5725,+295.5,+0.5297,0,000,+001.65
1562354412.6772628,+0.5725,+295.5,+0.5297,0,000,+001.65
1562354434.7029715,+0.5725,+295.5,+0.5297,0,000,+001.65
1562354456.7286906,+0.5725,+295.5,+0.5297,0,000,+001.65
1562354478.7543209,+0.5725,+295.5,+0.5297,0,000,+001.65
1562354500.7800612,+0.5725,+295.5,+0.5297,0,000,+001.65
1562354522.8057928,+0.5725,+295.5,+0.5297,0,000,+001.65
1562354544.8312812,+0.5725,+295.5,+0.5297,0,000,+001.65
1562354566.857078,+0.5725,+295.5,+0.5297,0,000,+001.65
1562354588.8827143,+0.5725,+295.5,+0.5297,0,000,+001.65
1562354610.9083707,+0.5725,+295.5,+0.5297,0,000,+001.65
1562354632.9325345,+0.5725,+295.5,+0.5297,0,000,+001.65
1562354654.9581609,+0.5725,+295.5,+0.5297,0,000,+001.65
1562354676.9839237,+0.5725,+295.5,+0.5297,0,000,+001.65
1562354699.0097332,+0.5725,+295.5,+0.5297,0,000,+001.65
1562354721.0352929,+0.5725,+295.5,+0.5297,0,000,+001.65
1562354743.0610898,+0.5725,+295.5,+0.5297,0,000,+001.65
1562354765.086824,+0.5725,+295.5,+0.5297,0,000,+001.65
1562354787.1124675,+0.5725,+295.5,+0.5297,0,000,+001.65
1562354809.138211,+0.5725,+295.5,+0.5297,0,000,+001.65
1562354831.1637707,+0.5725,+295.5,+0.5298,0,000,+001.65
1562354853.1894603,+0.5725,+295.5,+0.5297,0,000,+001.65
1562354875.2151942,+0.5725,+295.5,+0.5298,0,000,+001.65
1562354897.2407193,+0.5725,+295.5,+0.5298,0,000,+001.65
1562354919.266411,+0.5725,+295.5,+0.5298,0,000,+001.65
1562354941.2921343,+0.5725,+295.5,+0.5298,0,000,+001.65
1562354963.3177319,+0.5725,+295.5,+0.5298,0,000,+001.65
1562354985.3433938,+0.5725,+295.5,+0.5298,0,000,+001.65
1562355007.369084,+0.5725,+295.5,+0.5298,0,000,+001.65
1562355029.3947027,+0.5725,+295.5,+0.5298,0,000,+001.65
1562355051.4204292,+0.5725,+295.5,+0.5298,0,000,+001.65
1562355073.4457278,+0.5725,+295.5,+0.5298,0,000,+001.65
1562355095.4714384,+0.5725,+295.5,+0.5298,0,000,+001.65
1562355117.497182,+0.5725,+295.5,+0.5298,0,000,+001.65
1562355139.5227907,+0.5725,+295.5,+0.5298,0,000,+001.65
1562355161.5485132,+0.5725,+295.5,+0.5298,0,000,+001.65
1562355183.5742383,+0.5725,+295.5,+0.5298,0,000,+001.65
1562355205.599834,+0.5725,+295.5,+0.5298,0,000,+001.65
1562355227.6255655,+0.5725,+295.5,+0.5298,0,000,+001.65
1562355249.651221,+0.5725,+295.5,+0.5298,0,000,+001.65
1562355271.6767654,+0.5725,+295.5,+0.5298,0,000,+001.65
1562355293.7017553,+0.5725,+295.5,+0.5298,0,000,+001.65
1562355315.727276,+0.5725,+295.5,+0.5298,0,000,+001.65
1562355337.7530656,+0.5725,+295.5,+0.5298,0,000,+001.65
1562355359.7787464,+0.5725,+295.5,+0.5298,0,000,+001.65
1562355381.8043177,+0.5725,+295.5,+0.5298,0,000,+001.65
1562355403.8300085,+0.5725,+295.5,+0.5298,0,000,+001.65
1562355425.855785,+0.5725,+295.5,+0.5298,0,000,+001.65
1562355447.881287,+0.5726,+295.5,+0.5298,0,000,+001.65
1562355469.9069989,+0.5726,+295.5,+0.5298,0,000,+001.65
1562355491.9296346,+0.5726,+295.5,+0.5298,0,000,+001.65
1562355513.953877,+0.5726,+295.5,+0.5298,0,000,+001.65
1562355535.9796278,+0.5726,+295.5,+0.5298,0,000,+001.65
1562355558.0053906,+0.5726,+295.5,+0.5298,0,000,+001.65
1562355580.0311515,+0.5726,+295.5,+0.5298,0,000,+001.65
1562355602.0568671,+0.5726,+295.5,+0.5298,0,000,+001.65
1562355624.0824087,+0.5726,+295.5,+0.5298,0,000,+001.65
1562355646.1081564,+0.5726,+295.5,+0.5298,0,000,+001.65
1562355668.1339056,+0.5726,+295.5,+0.5298,0,000,+001.65
1562355690.1595778,+0.5726,+295.5,+0.5298,0,000,+001.65
1562355712.18535,+0.5726,+295.5,+0.5298,0,000,+001.65
1562355734.210887,+0.5726,+295.5,+0.5298,0,000,+001.65
1562355756.2365427,+0.5726,+295.5,+0.5298,0,000,+001.65
1562355778.2622848,+0.5726,+295.5,+0.5298,0,000,+001.65
1562355800.2878246,+0.5726,+295.5,+0.5298,0,000,+001.65
1562355822.3135908,+0.5726,+295.5,+0.5298,0,000,+001.65
1562355844.339213,+0.5726,+295.5,+0.5298,0,000,+001.65
1562355866.3648458,+0.5726,+295.5,+0.5298,0,000,+001.65
1562355888.3904955,+0.5726,+295.5,+0.5298,0,000,+001.65
1562355910.4137776,+0.5726,+295.5,+0.5298,0,000,+001.65
1562355932.437455,+0.5726,+295.5,+0.5298,0,000,+001.65
1562355954.4630306,+0.5726,+295.5,+0.5298,0,000,+001.65
1562355976.4888978,+0.5726,+295.5,+0.5298,0,000,+001.65
1562355998.5145504,+0.5726,+295.5,+0.5298,0,000,+001.65
1562356020.540451,+0.5726,+295.5,+0.5298,0,000,+001.65
1562356042.5663195,+0.5726,+295.4,+0.5298,0,000,+001.65
1562356064.5922098,+0.5726,+295.4,+0.5298,0,000,+001.65
1562356086.6180427,+0.5726,+295.5,+0.5298,0,000,+001.65
1562356108.6438282,+0.5726,+295.4,+0.5298,0,000,+001.65
1562356130.6697526,+0.5726,+295.4,+0.5298,0,000,+001.65
1562356152.6957467,+0.5726,+295.4,+0.5298,0,000,+001.65
1562356174.7216253,+0.5726,+295.4,+0.5298,0,000,+001.65
1562356196.7475677,+0.5726,+295.4,+0.5298,0,000,+001.65
1562356218.7733016,+0.5726,+295.4,+0.5298,0,000,+001.65
1562356240.798802,+0.5726,+295.4,+0.5298,0,000,+001.65
1562356262.8247983,+0.5726,+295.4,+0.5298,0,000,+001.65
1562356284.8505013,+0.5726,+295.4,+0.5298,0,000,+001.65
1562356306.8763604,+0.5726,+295.4,+0.5298,0,000,+001.65
1562356328.902122,+0.5726,+295.4,+0.5298,0,000,+001.65
