t,Sensor T [K],Sensor V [V],Control T [K],Control V [V],Heater Range [a.u.],Heater % [a.u.]
1560522859.1464872,+005.87,+1.5645,+006.87,+1.5273,0,000
1560522881.1719427,+005.87,+1.5645,+006.87,+1.5273,0,000
1560522903.197194,+005.87,+1.5645,+006.87,+1.5273,0,000
1560522925.2227488,+005.87,+1.5645,+006.87,+1.5273,0,000
1560522947.2485301,+005.87,+1.5645,+006.87,+1.5273,0,000
1560522969.2741408,+005.87,+1.5645,+006.87,+1.5274,0,000
1560522991.299726,+005.87,+1.5645,+006.87,+1.5274,0,000
1560523013.3254864,+005.87,+1.5645,+006.87,+1.5274,0,000
1560523035.3510683,+005.87,+1.5645,+006.87,+1.5274,0,000
1560523057.3768265,+005.87,+1.5645,+006.87,+1.5274,0,000
1560523079.4025683,+005.87,+1.5645,+006.87,+1.5274,0,000
1560523101.4277017,+005.87,+1.5645,+006.87,+1.5274,0,000
1560523123.4534686,+005.87,+1.5645,+006.87,+1.5274,0,000
1560523145.4791906,+005.87,+1.5645,+006.87,+1.5274,0,000
1560523167.50489,+005.87,+1.5645,+006.87,+1.5274,0,000
1560523189.5304952,,,+006.87,+1.5274,0,000
1560523211.555924,+005.87,+1.5645,+006.87,+1.5274,0,000
1560523233.5816445,+005.87,+1.5645,+006.87,+1.5274,0,000
1560523255.6073825,+005.87,+1.5645,+006.87,+1.5275,0,000
1560523277.6329958,+005.87,+1.5645,+006.87,+1.5275,0,000
1560523299.6586072,+005.87,+1.5645,+006.87,+1.5275,0,000
1560523321.684274,+005.87,+1.5645,+006.87,+1.5275,0,000
1560523343.7097363,+005.87,+1.5645,+006.87,+1.5275,0,000
1560523365.7354076,+005.87,+1.5645,+006.87,+1.5275,0,000
1560523387.761099,+005.87,+1.5645,+006.87,+1.5275,0,000
1560523409.7868154,+005.87,+1.5645,+006.87,+1.5275,0,000
1560523431.8126147,+005.87,+1.5645,+006.87,+1.5275,0,000
1560523453.838252,+005.87,+1.5645,+006.87,+1.5275,0,000
1560523475.8640027,+005.87,+1.5645,+006.87,+1.5275,0,000
1560523497.8897297,+005.87,+1.5645,+006.87,+1.5275,0,000
1560523519.9151876,+005.87,+1.5645,+006.87,+1.5275,0,000
1560523541.9408536,+005.87,+1.5645,+006.87,+1.5275,0,000
1560523563.9664676,+005.87,+1.5645,+006.87,+1.5275,0,000
1560523585.9921947,+005.87,+1.5645,+006.87,+1.5275,0,000
1560523608.017682,+005.87,+1.5645,+006.87,+1.5276,0,000
1560523630.042882,+005.87,+1.5645,+006.87,+1.5276,0,000
1560523652.0686102,+005.87,+1.5645,+006.87,+1.5276,0,000
1560523674.0944164,+005.87,+1.5645,+006.87,+1.5276,0,000
1560523696.1200366,+005.87,+1.5646,+006.87,+1.5276,0,000
1560523718.1458097,+005.87,+1.5646,,+1.5276,0,000
1560523740.171308,+005.87,+1.5646,+006.87,+1.5276,0,000
1560523762.1968834,+005.87,+1.5646,+006.86,,,000
1560523784.2226424,,+005.87,,,0,000
1560523806.2482474,+005.87,+1.5646,+006.86,+1.5276,0,000
1560523828.2736695,+005.87,+1.5646,+006.86,+1.5276,0,000
1560523850.2994094,+005.87,+1.5646,+006.86,+1.5276,0,000
1560523872.324908,+005.87,+1.5645,+006.86,+1.5276,0,000
1560523894.3504674,+005.87,+1.5645,+006.86,+1.5277,0,000
1560523916.375972,+005.87,+1.5645,+006.86,+1.5277,0,000
1560523938.4013107,,+1.5645,+006.86,+1.5277,,
1560523960.4268584,,+1.5645,+006.86,+1.5277,0,000
1560523982.4525824,+005.87,+1.5645,+006.86,+1.5277,0,000
1560524004.4781768,,+1.5645,+006.86,+1.5277,0,000
1560524026.503673,+005.87,+1.5645,+006.86,+1.5277,0,000
1560524048.5292485,+005.87,+1.5645,+006.86,+1.5277,0,000
1560524070.5549588,+005.87,+1.5645,+006.86,+1.5277,0,000
1560524092.5805657,+005.87,+1.5645,+006.86,+1.5277,0,000
1560524114.6059844,+005.87,+1.5645,+006.86,+1.5277,0,000
1560524136.6315196,+005.87,+1.5645,+006.86,+1.5277,0,000
1560524158.657045,+005.87,+1.5646,,+1.5274,1,040
1560524180.6825414,+005.87,+1.5644,+007.45,+1.5051,1,000
1560524202.7079358,+005.88,+1.5642,+007.50,+1.5041,1,000
1560524224.7334151,+005.88,+1.5642,+007.50,+1.5041,1,000
1560524246.7589912,+005.88,+1.5641,+007.50,+1.5043,1,000
1560524268.7846136,+005.88,+1.5641,+007.49,+1.5044,1,000
1560524290.8098254,+005.88,+1.5641,+007.49,+1.5046,1,000
1560524312.8353055,+005.88,+1.5641,+007.48,+1.5048,1,000
1560524334.860847,+005.88,+1.5641,+007.48,+1.5050,1,000
1560524356.8862102,+005.88,+1.5641,+007.47,+1.5052,1,000
1560524378.9110527,+005.88,+1.5641,+007.47,+1.5053,1,000
1560524400.9366057,+005.88,+1.5641,+007.46,+1.5055,1,000
1560524422.9621186,+005.88,+1.5641,+007.46,+1.5056,1,000
1560524444.9878662,+005.88,+1.5641,+007.45,+1.5058,1,000
1560524467.0135913,+005.88,+1.5641,+007.45,+1.5059,1,000
1560524489.039143,+005.88,+1.5641,+007.45,+1.5061,1,000
1560524511.0642033,+005.88,+1.5641,+007.44,+1.5062,1,000
1560524533.0858245,+005.88,+1.5641,+007.44,+1.5064,1,000
1560524555.1096966,+005.88,+1.5641,+007.43,+1.5065,1,000
1560524577.1357555,+005.88,+1.5641,+007.43,+1.5067,1,000
