t,Sensor T [K],Sensor V [V],Control T [K],Control V [V],Heater Range [a.u.],Heater % [a.u.]
1560524599.1605225,+005.88,+1.5641,+007.43,+1.5068,1,000
1560524621.1849127,+005.88,+1.5641,+007.42,+1.5070,1,000
1560524643.2107842,+005.88,+1.5641,+007.42,+1.5071,1,000
1560524665.2356176,+005.88,+1.5641,+007.42,+1.5072,1,000
1560524687.2602918,+005.88,+1.5641,+007.41,+1.5074,1,000
1560524709.285378,+005.88,+1.5641,+007.41,+1.5075,1,000
1560524731.3113105,+005.88,+1.5641,+007.40,+1.5076,1,000
1560524753.3373117,+005.88,+1.5641,+007.40,+1.5078,1,000
1560524775.3633664,+005.88,+1.5641,+007.40,+1.5079,1,000
1560524797.3883593,+005.88,+1.5641,+007.39,+1.5081,1,000
1560524819.4141724,+005.88,+1.5642,+007.39,+1.5082,1,000
1560524841.4398358,+005.88,+1.5642,+007.39,+1.5083,1,000
1560524863.4655838,+005.88,+1.5642,+007.38,+1.5084,1,000
1560524885.4916244,+005.88,+1.5642,+007.38,+1.5086,1,000
1560524907.5175924,+005.88,+1.5642,+007.38,+1.5087,1,000
1560524929.543699,+005.88,+1.5641,+007.37,+1.5088,1,000
1560524951.569366,+005.88,+1.5641,+007.37,+1.5089,1,000
1560524973.5953133,+005.88,+1.5642,+007.37,+1.5091,1,000
1560524995.6209579,+005.88,+1.5642,+007.36,+1.5092,1,000
1560525017.6462986,+005.88,+1.5642,+007.36,+1.5093,1,000
1560525039.6710305,+005.88,+1.5642,+007.36,+1.5094,1,000
1560525061.6967328,+005.88,+1.5642,+007.35,+1.5095,1,000
1560525083.7207875,+005.88,+1.5642,+007.35,+1.5097,1,000
1560525105.7456717,+005.88,+1.5642,+007.35,+1.5098,1,000
1560525127.7707555,+005.88,+1.5642,+007.34,+1.5099,1,000
1560525149.7965639,+005.88,+1.5642,+007.34,+1.5100,1,000
1560525171.8220148,+005.88,+1.5642,+007.34,+1.5101,1,000
1560525193.844859,+005.88,+1.5642,+007.33,+1.5102,1,000
1560525215.8688161,+005.88,+1.5642,+007.33,+1.5103,1,000
1560525237.8925123,+005.88,+1.5642,+007.33,+1.5105,1,000
1560525259.917943,+005.88,+1.5642,+007.32,+1.5106,1,000
1560525281.9432511,+005.88,+1.5643,+007.32,+1.5107,1,000
1560525303.9684548,+005.87,+1.5643,+007.32,+1.5108,1,000
1560525325.9934146,+005.88,+1.5642,+007.32,+1.5109,1,000
1560525348.0184512,+005.87,+1.5643,+007.31,+1.5110,1,000
1560525370.0437944,+005.87,+1.5643,+007.31,+1.5111,1,000
1560525392.0681171,+005.87,+1.5643,+007.31,+1.5112,1,000
1560525414.092812,+005.87,+1.5643,+007.30,+1.5113,,000
1560525436.1180875,+005.87,+1.5643,+007.30,+1.5114,1,000
1560525458.1437323,+005.87,+1.5643,+007.30,+1.5115,1,000
1560525480.1693306,+005.87,+1.5643,+007.30,+1.5116,1,000
1560525502.194864,+005.87,+1.5643,+007.29,+1.5118,1,000
1560525524.2206612,+005.87,+1.5643,+007.29,+1.5119,1,000
1560525546.2463083,+005.87,+1.5643,+007.29,+1.5120,1,000
1560525568.2718117,+005.87,+1.5643,+007.28,+1.5121,1,000
1560525590.2975595,+005.87,+1.5643,+007.28,+1.5122,1,000
1560525612.3228374,+005.87,+1.5643,+007.28,+1.5123,1,000
1560525634.3485072,+005.87,+1.5643,+007.28,+1.5124,1,000
1560525656.3742619,+005.87,+1.5643,+007.27,+1.5125,1,000
1560525678.399744,+005.87,+1.5643,+007.27,+1.5126,1,000
1560525700.4255073,+005.87,+1.5643,+007.27,+1.5127,1,000
1560525722.4505117,+005.87,+1.5643,+007.27,+1.5127,1,000
1560525744.4761922,+005.87,+1.5643,+007.26,+1.5128,1,000
1560525766.5019379,+005.87,+1.5643,+007.26,+1.5129,1,000
1560525788.5276992,+005.87,+1.5643,+007.26,+1.5130,1,000
1560525810.5533617,+005.87,+1.5643,+007.26,+1.5131,1,000
1560525832.5791059,+005.87,+1.5643,+007.25,+1.5132,1,000
1560525854.6046674,+005.87,+1.5643,+007.25,+1.5133,1,000
1560525876.6303983,+005.87,+1.5643,,+1.5134,1,
1560525898.6561825,+1.5644,+005.87,+007.25,+1.5135,1,000
1560525920.6817544,+005.87,+1.5644,+007.24,+1.5136,1,000
1560525942.7075152,+005.87,+1.5644,+007.24,+1.5137,1,000
1560525964.733187,+005.87,+1.5644,+007.24,+1.5138,1,000
1560525986.758791,+005.87,+1.5644,+007.24,+1.5138,1,000
1560526008.7845995,+005.87,+1.5644,+007.23,+1.5139,1,000
1560526030.8099482,+005.87,+1.5644,+007.23,+1.5140,1,000
1560526052.8356147,+005.87,+1.5643,+007.23,+1.5141,1,000
1560526074.8612669,+005.87,+1.5643,+007.23,+1.5142,1,000
1560526096.883952,+005.87,+1.5643,+007.22,+1.5143,1,000
1560526118.908235,+005.87,+1.5643,+007.22,+1.5144,1,000
1560526140.9314005,+005.87,+1.5643,+007.22,+1.5145,1,000
1560526162.9570286,+005.87,+1.5643,+007.22,+1.5145,1,000
1560526184.9830775,+005.87,+1.5643,+007.22,+1.5146,1,000
1560526207.0090985,+005.87,+1.5643,+007.21,+1.5147,1,000
1560526229.0350358,+005.87,+1.5643,+007.21,+1.5148,1,000
1560526251.0611663,+005.87,+1.5643,+007.21,+1.5149,1,000
1560526273.086938,+005.87,+1.5644,+007.21,+1.5150,1,000
1560526295.1130502,+005.87,+1.5643,+007.20,+1.5150,1,000
1560526317.1390507,+005.87,+1.5643,+007.20,+1.5151,1,000
1560526339.1649973,+005.87,+1.5643,+007.20,+1.5152,1,000
1560526361.1911716,+005.87,+1.5643,+007.20,+1.5153,1,000
1560526383.217054,+005.87,+1.5644,+007.20,+1.5153,1,000
1560526405.2430694,+005.87,+1.5644,+007.19,+1.5154,1,000
1560526427.269179,+005.87,+1.5644,+007.19,+1.5155,1,000
1560526449.2952032,+005.87,+1.5644,+007.19,+1.5156,1,000
1560526471.3211834,+005.87,+1.5644,+007.19,+1.5157,1,000
1560526493.3471234,+005.87,+1.5644,+007.19,+1.5157,1,000
1560526515.3728044,+005.87,+1.5644,+007.18,+1.5158,1,000
1560526537.3987436,+005.87,+1.5644,+007.18,+1.5159,1,000
1560526559.4238129,+005.87,+1.5644,+007.18,+1.5159,1,000
1560526581.4497051,+005.87,+1.5644,+007.18,+1.5160,1,000
1560526603.475752,+005.87,+1.5644,+007.18,+1.5161,1,000
1560526625.5015295,+005.87,+1.5644,+007.17,+1.5162,1,000
1560526647.527527,+005.87,+1.5644,+007.17,+1.5162,1,000
1560526669.5533917,+005.87,+1.5644,+007.17,+1.5163,1,000
1560526691.5793552,+005.87,+1.5644,+007.17,+1.5164,1,000
1560526713.6053095,+005.87,+1.5644,+007.17,+1.5164,1,000
1560526735.6314461,+005.87,+1.5644,+007.16,+1.5165,1,000
1560526757.657227,+005.87,+1.5644,+007.16,+1.5166,1,000
1560526779.6833344,+005.87,+1.5644,+007.16,+1.5167,1,000
1560526801.709343,+005.87,+1.5644,+007.16,+1.5167,1,000
1560526823.735094,+005.87,+1.5644,+007.16,+1.5168,1,000
1560526845.7612317,+005.87,+1.5644,+007.15,+1.5169,1,000
1560526867.7871063,+005.87,+1.5644,+007.15,+1.5169,1,000
1560526889.8130717,+005.87,+1.5644,+007.15,+1.5170,1,000
1560526911.8391445,+005.87,+1.5644,+007.15,+1.5171,1,000
1560526933.8649268,+005.87,+1.5644,+007.15,+1.5171,1,100
1560526955.8909457,+005.88,+1.5641,+008.28,+1.4650,1,100
1560526977.9169457,+005.90,+1.5630,+009.83,+1.4194,1,100
1560526999.9426973,+005.94,+1.5618,+011.04,+1.3884,1,100
1560527021.9688573,+005.97,+1.5604,+011.93,+1.3652,1,100
1560527043.9947224,+006.01,+1.5590,+012.82,+1.3466,1,100
1560527066.0206983,+006.05,+1.5577,+013.58,+1.3311,1,100
1560527088.0467193,+006.08,+1.5563,+014.23,+1.3179,1,100
1560527110.0722396,+006.12,+1.5550,+014.80,+1.3063,1,100
1560527132.0980735,+006.15,+1.5537,+015.30,+1.2959,1,100
1560527154.1240954,+006.19,+1.5524,+015.80,+1.2866,1,100
1560527176.1498554,+006.22,+1.5512,+016.30,+1.2781,1,100
1560527198.175903,+006.25,+1.5501,+016.77,+1.2701,1,100
1560527220.201694,+006.28,+1.5490,+017.20,+1.2628,1,100
1560527242.2274184,+006.31,+1.5479,+017.59,+1.2560,1,100
1560527264.253427,+006.34,+1.5469,+017.97,+1.2497,1,100
1560527286.2791755,+006.37,+1.5459,+018.32,+1.2437,1,100
1560527308.3049743,+006.39,+1.5450,+018.65,+1.2380,1,100
1560527330.3307748,+006.42,+1.5440,+018.96,+1.2326,1,100
1560527352.3563604,+006.44,+1.5432,+019.26,+1.2274,1,100
1560527374.3822317,+006.46,+1.5423,+019.55,+1.2225,1,100
1560527396.4081085,+006.49,+1.5415,+019.83,+1.2177,1,100
1560527418.432401,+006.51,+1.5407,+020.08,+1.2131,1,100
1560527440.4583507,+006.53,+1.5399,+020.31,+1.2087,1,100
1560527462.4839833,+006.55,+1.5391,+020.53,+1.2043,1,100
1560527484.5096278,+006.57,+1.5384,+020.74,+1.2001,1,100
1560527506.53546,+006.59,+1.5377,+020.95,+1.1959,1,100
1560527528.5612078,+006.61,+1.5370,+021.16,+1.1918,1,100
1560527550.5870457,+006.63,+1.5363,+021.36,+1.1877,1,100
1560527572.6129708,+006.65,+1.5356,+021.57,+1.1837,1,100
1560527594.6384869,+006.66,+1.5350,+021.77,+1.1796,1,100
1560527616.6644623,+006.68,+1.5343,+021.97,+1.1756,1,100
1560527638.690344,+006.70,+1.5337,+022.18,+1.1715,1,100
1560527660.7160058,+006.71,+1.5331,+022.39,+1.1674,1,100
1560527682.7418895,+006.73,+1.5325,+022.59,+1.1633,1,100
1560527704.7676353,+006.75,+1.5319,+022.80,+1.1592,1,100
1560527726.7934923,+006.76,+1.5314,+023.00,+1.1553,1,100
1560527748.819101,+006.78,+1.5308,+023.19,+1.1514,1,100
1560527770.8446991,+006.79,+1.5302,+023.36,+1.1485,0,000
1560527792.8707058,+006.80,+1.5301,+023.40,+1.1480,0,000
1560527814.8967924,+006.80,+1.5301,+023.40,,0,000
1560527836.9224389,+006.80,+1.5302,+023.39,+1.1481,,000
1560527858.9480052,,+1.5303,+023.38,+1.1483,0,000
1560527880.9741476,+006.79,+1.5304,+023.37,+1.1486,0,000
1560527903.000154,+006.79,+1.5306,+023.35,+1.1489,0,000
1560527925.026346,+006.78,+1.5307,+023.34,+1.1492,0,000
1560527947.0523002,+006.78,+1.5309,+023.32,+1.1496,0,000
1560527969.0783389,+006.77,+1.5311,+023.30,+1.1499,0,000
1560527991.1045353,+006.77,+1.5312,+023.28,+1.1503,0,000
1560528013.129896,+006.76,+1.5314,+023.26,+1.1507,0,000
1560528035.1537776,+006.76,+1.5315,+023.25,+1.1511,0,000
1560528057.179705,+006.76,+1.5317,+023.23,+1.1514,0,000
1560528079.2047853,+006.75,+1.5318,+023.21,+1.1518,0,000
1560528101.2299123,+006.75,+1.5319,+023.19,+1.1522,0,000
1560528123.2556548,+006.75,+1.5320,+023.17,+1.1526,0,000
1560528145.2814689,+006.74,+1.5322,+023.15,+1.1530,0,000
