t,Sensor T [K],Sensor V [V],Control T [K],Control V [V],Heater Range [a.u.],Heater % [a.u.]
1559851179.0462055,+243.9,+0.6528,+275.4,+0.5780,0,000
1559851201.0717874,+243.8,+0.6530,+275.4,+0.5781,0,000
1559851223.0957203,+243.8,+0.6532,+275.3,+0.5782,0,000
1559851245.1215534,+243.7,+0.6534,+275.3,+0.5783,0,000
1559851267.1474066,+243.6,+0.6535,+275.2,+0.5784,0,000
1559851289.1723454,+243.5,+0.6537,+275.2,+0.5785,0,000
1559851311.1979964,+243.5,+0.6539,+275.1,+0.5786,0,000
1559851333.2237182,+243.4,+0.6541,+275.1,+0.5787,0,000
1559851355.2496364,+243.3,+0.6542,+275.1,+0.5788,0,000
1559851377.2753022,+243.2,+0.6544,+275.0,+0.5789,0,000
1559851399.3008492,+243.2,+0.6546,+275.0,+0.5790,0,000
1559851421.326518,+243.1,+0.6548,+274.9,+0.5791,0,000
1559851443.352074,+243.0,+0.6549,+274.9,+0.5793,0,000
1559851465.3776338,+242.9,+0.6551,+274.8,+0.5793,0,000
1559851487.4031625,+242.9,+0.6553,+274.8,+0.5795,0,000
1559851509.428814,+242.8,+0.6555,+274.8,+0.5796,0,000
1559851531.4545076,+242.7,+0.6557,+274.7,+0.5797,0,000
1559851553.480121,+242.6,+0.6559,+274.7,+0.5798,0,000
1559851575.5056548,+242.6,+0.6560,+274.6,+0.5799,0,000
1559851597.5313094,+242.5,+0.6562,+274.6,+0.5800,0,000
1559851619.5569444,+242.4,+0.6564,+274.5,+0.5801,0,000
1559851641.582573,+242.3,+0.6566,+274.5,+0.5802,0,000
1559851663.6080868,+242.3,+0.6567,+274.4,+0.5803,0,000
1559851685.633695,+242.2,+0.6569,+274.4,+0.5804,0,000
1559851707.6573684,+242.1,+0.6571,+274.3,+0.5805,0,000
1559851729.68148,+242.0,+0.6573,+274.3,+0.5806,0,000
1559851751.705547,+242.0,+0.6574,+274.3,+0.5807,0,000
1559851773.731102,+241.9,+0.6576,+274.2,+0.5808,0,000
1559851795.7568076,+241.8,+0.6578,+274.2,+0.5809,0,000
1559851817.780979,+241.7,+0.6580,+274.1,+0.5810,0,000
1559851839.8065903,+241.7,+0.6582,+274.1,+0.5811,0,000
1559851861.8322947,+241.6,+0.6583,+274.0,+0.5813,0,000
1559851883.8567684,+241.5,+0.6585,+274.0,+0.5814,0,000
1559851905.8820534,+241.4,+0.6587,+273.9,+0.5815,0,000
1559851927.9075217,+241.4,+0.6589,+273.9,+0.5816,0,000
1559851949.9329128,+241.3,+0.6590,+273.9,+0.5817,0,000
1559851971.9583223,+241.2,+0.6592,+273.8,+0.5818,0,000
1559851993.983717,+241.1,+0.6594,+273.8,+0.5819,0,000
1559852016.009414,+241.1,+0.6596,+273.7,+0.5820,0,000
1559852038.035095,+241.0,+0.6598,+273.7,+0.5821,0,000
1559852060.0602248,+240.9,+0.6599,+273.6,+0.5822,0,000
1559852082.085721,+240.8,+0.6601,+273.6,+0.5823,0,000
1559852104.1112974,+240.8,+0.6603,+273.5,+0.5824,0,000
1559852126.1369367,+240.7,+0.6605,+273.5,+0.5825,0,000
1559852148.162426,+240.6,+0.6606,+273.5,+0.5826,0,000
1559852170.1868505,+240.5,+0.6608,+273.4,+0.5827,0,000
1559852192.212283,+240.5,+0.6610,+273.4,+0.5828,0,000
1559852214.2363825,+240.4,+0.6612,+273.3,+0.5830,0,000
1559852236.260155,+240.3,+0.6613,+273.3,+0.5831,0,000
1559852258.285537,+240.2,+0.6615,+273.2,+0.5832,0,000
1559852280.3109322,+240.2,+0.6617,+273.2,+0.5833,0,000
1559852302.3357174,+240.1,+0.6619,+273.1,+0.5834,0,000
1559852324.3603897,+240.0,+0.6621,+273.1,+0.5835,0,000
1559852346.3856125,+239.9,+0.6622,+273.1,+0.5836,0,000
1559852368.41052,+239.9,+0.6624,+273.0,+0.5837,0,000
1559852390.4357414,+239.8,+0.6626,+273.0,+0.5838,0,000
1559852412.4607675,+239.7,+0.6628,+272.9,+0.5839,0,000
1559852434.4849901,+239.6,+0.6629,+272.9,+0.5840,0,000
1559852456.5106764,+239.6,+0.6631,+272.8,+0.5841,0,000
1559852478.5362558,+239.5,+0.6633,+272.8,+0.5842,0,000
1559852500.5615783,+239.4,+0.6635,+272.7,+0.5843,0,000
1559852522.5870206,+239.3,+0.6636,+272.7,+0.5844,0,000
1559852544.6116688,+239.3,+0.6638,+272.7,+0.5845,0,000
1559852566.635741,+239.2,+0.6640,+272.6,+0.5847,0,000
1559852588.6591372,+239.1,+0.6642,+272.6,+0.5848,0,000
1559852610.6836784,+239.0,+0.6643,+272.5,+0.5849,0,000
1559852632.70836,+239.0,+0.6645,+272.5,+0.5850,0,000
1559852654.731742,+238.9,+0.6647,+272.4,+0.5851,0,000
1559852676.756887,+238.8,+0.6649,+272.4,+0.5852,0,000
1559852698.7804048,+238.8,+0.6650,+272.3,+0.5853,0,000
1559852720.8049734,+238.7,+0.6652,+272.3,+0.5854,0,000
1559852742.8277292,+238.6,+0.6654,+272.2,+0.5855,0,000
1559852764.8524067,+238.5,+0.6656,+272.2,+0.5856,0,000
1559852786.8769743,+238.5,+0.6657,+272.2,+0.5857,0,000
1559852808.900447,+238.4,+0.6659,+272.1,+0.5858,0,000
1559852830.9252396,+238.3,+0.6661,+272.1,+0.5859,0,000
1559852852.9489737,+238.2,+0.6663,+272.0,+0.5860,0,000
1559852874.9736748,+238.2,+0.6664,+272.0,+0.5861,0,000
1559852896.9991002,+238.1,+0.6666,+271.9,+0.5863,0,000
1559852919.023695,+238.0,+0.6668,+271.9,+0.5864,0,000
1559852941.047573,+237.9,+0.6670,+271.8,+0.5865,0,000
1559852963.0727468,+237.9,+0.6672,+271.8,+0.5866,0,000
1559852985.09818,+237.8,+0.6673,+271.7,+0.5867,0,000
1559853007.1233573,+237.7,+0.6675,+271.7,+0.5868,0,000
1559853029.1489067,+237.7,+0.6677,+271.7,+0.5869,0,000
1559853051.1745787,+237.6,+0.6679,+271.6,+0.5870,0,000
1559853073.198042,+237.5,+0.6680,+271.6,+0.5871,0,000
1559853095.2215943,+237.4,+0.6682,+271.5,+0.5872,0,000
1559853117.2465045,+237.4,+0.6684,+271.5,+0.5873,0,000
1559853139.2712219,+237.3,+0.6686,+271.4,+0.5874,0,000
1559853161.296825,+237.2,+0.6687,+271.4,+0.5875,0,000
1559853183.3203218,+237.1,+0.6689,+271.3,+0.5877,0,000
1559853205.3443947,+237.1,+0.6691,+271.3,+0.5878,0,000
1559853227.3683972,+237.0,+0.6693,+271.2,+0.5879,0,000
1559853249.3941448,+236.9,+0.6694,+271.2,+0.5880,0,000
1559853271.419738,+236.8,+0.6696,+271.2,+0.5881,0,000
1559853293.4449975,+236.8,+0.6698,+271.1,+0.5882,0,000
1559853315.4689322,+236.7,+0.6699,+271.1,+0.5883,0,000
1559853337.489603,+236.6,+0.6701,+271.0,+0.5884,0,000
1559853359.5134623,+236.5,+0.6703,+271.0,+0.5885,0,000
1559853381.5368996,+236.5,+0.6705,+270.9,+0.5886,0,000
1559853403.5621839,+236.4,+0.6706,+270.9,+0.5887,0,000
1559853425.5868754,+236.3,+0.6708,+270.8,+0.5888,0,000
1559853447.612122,+236.3,+0.6710,+270.8,+0.5890,0,000
