t,Sensor T [K],Sensor V [V],Control T [K],Control V [V],Heater Range [a.u.],Heater % [a.u.]
1559853469.6357284,+236.2,+0.6712,+270.8,+0.5891,0,000
1559853491.6596596,+236.1,+0.6713,+270.7,+0.5892,0,000
1559853513.6814928,+236.0,+0.6715,+270.7,+0.5893,0,000
1559853535.7049785,+236.0,+0.6717,+270.6,+0.5894,0,000
1559853557.7277143,+235.9,+0.6719,+270.6,+0.5895,0,000
1559853579.7517495,+235.8,+0.6720,+270.5,+0.5896,0,000
1559853601.7763948,+235.7,+0.6722,+270.5,+0.5897,0,000
1559853623.800635,+235.7,+0.6724,+270.4,+0.5898,0,000
1559853645.8253553,+235.6,+0.6726,+270.4,+0.5899,0,000
1559853667.8483264,+235.5,+0.6727,+270.3,+0.5900,0,000
1559853689.8739765,+235.4,+0.6729,+270.3,+0.5902,0,000
1559853711.8975098,+235.4,+0.6731,+270.3,+0.5903,0,000
1559853733.9215395,+235.3,+0.6733,+270.2,+0.5904,0,000
1559853755.9471169,+235.2,+0.6734,+270.2,+0.5905,0,000
1559853777.9727964,+235.2,+0.6736,+270.1,+0.5906,0,000
1559853799.9969246,+235.1,+0.6738,+270.1,+0.5907,0,000
1559853822.0226471,+235.0,+0.6739,+270.0,+0.5908,0,000
1559853844.0471137,+234.9,+0.6741,+270.0,+0.5909,0,000
1559853866.0725954,+234.9,+0.6743,+269.9,+0.5910,0,000
1559853888.097282,+234.8,+0.6745,+269.9,+0.5911,0,000
1559853910.1225185,+234.7,+0.6746,+269.8,+0.5912,0,000
1559853932.1468394,+234.6,+0.6748,+269.8,+0.5913,0,000
1559853954.1709528,+234.6,+0.6750,+269.7,+0.5914,0,000
1559853976.196313,+234.5,+0.6752,+269.7,+0.5916,0,000
1559853998.2219121,+234.4,+0.6753,+269.6,+0.5917,0,000
1559854020.2461784,+234.4,+0.6755,+269.6,+0.5918,0,000
1559854042.2709913,+234.3,+0.6757,+269.6,+0.5919,0,000
1559854064.2964294,+234.2,+0.6759,+269.5,+0.5920,0,000
1559854086.321559,+234.1,+0.6760,+269.5,+0.5921,0,000
1559854108.3470786,+234.1,+0.6762,+269.4,+0.5922,0,000
1559854130.3728569,+234.0,+0.6764,+269.4,+0.5923,0,000
1559854152.396987,+233.9,+0.6765,+269.3,+0.5924,0,000
1559854174.4215782,+233.8,+0.6767,+269.3,+0.5925,0,000
1559854196.4470482,+233.8,+0.6769,+269.2,+0.5927,0,000
1559854218.4715703,+233.7,+0.6771,+269.2,+0.5928,0,000
1559854240.4971545,+233.6,+0.6772,+269.1,+0.5929,0,000
1559854262.522219,+233.5,+0.6774,+269.1,+0.5930,0,000
1559854284.5470655,+233.5,+0.6776,+269.1,+0.5931,0,000
1559854306.5725954,+233.4,+0.6778,+269.0,+0.5932,0,000
1559854328.5981781,+233.3,+0.6779,+269.0,+0.5933,0,000
1559854350.6203985,+233.3,+0.6781,+268.9,+0.5934,0,000
1559854372.6443563,+233.2,+0.6783,+268.9,+0.5935,0,000
1559854394.6696174,+233.1,+0.6784,+268.8,+0.5936,0,000
1559854416.6917222,+233.0,+0.6786,+268.8,+0.5937,0,000
1559854438.7169404,+233.0,+0.6788,+268.7,+0.5938,0,000
1559854460.737591,+232.9,+0.6790,+268.7,+0.5940,0,000
1559854482.7597277,+232.8,+0.6791,+268.6,+0.5941,0,000
1559854504.7850401,+232.7,+0.6793,+268.6,+0.5942,0,000
1559854526.8105276,+232.7,+0.6795,+268.5,+0.5943,0,000
1559854548.8335743,+232.6,+0.6797,+268.5,+0.5944,0,000
1559854570.8556206,+232.5,+0.6798,+268.5,+0.5945,0,000
1559854592.8775704,+232.5,+0.6800,+268.4,+0.5946,0,000
1559854614.9018226,+232.4,+0.6802,+268.4,+0.5947,0,000
1559854636.9255986,+232.3,+0.6803,+268.3,+0.5948,0,000
1559854658.951404,+232.2,+0.6805,+268.3,+0.5949,0,000
1559854680.9773128,+232.2,+0.6807,+268.2,+0.5950,0,000
1559854703.002973,+232.1,+0.6808,+268.2,+0.5952,0,000
1559854725.0288043,+232.0,+0.6810,+268.1,+0.5953,0,000
1559854747.0543773,+231.9,+0.6812,+268.1,+0.5954,0,000
1559854769.0801759,+231.9,+0.6814,+268.0,+0.5955,0,000
1559854791.105674,+231.8,+0.6815,+268.0,+0.5956,0,000
1559854813.1309881,+231.7,+0.6817,+267.9,+0.5957,0,000
1559854835.1567936,+231.7,+0.6819,+267.9,+0.5958,0,000
1559854857.182257,+231.6,+0.6821,+267.9,+0.5959,0,000
1559854879.2077453,+231.5,+0.6822,+267.8,+0.5960,0,000
1559854901.2335653,+231.4,+0.6824,+267.8,+0.5962,0,000
1559854923.259278,+231.4,+0.6826,+267.7,+0.5963,0,000
1559854945.285266,+231.3,+0.6827,+267.7,+0.5964,0,000
1559854967.3104239,+231.2,+0.6829,+267.6,+0.5965,0,000
1559854989.3361154,+231.2,+0.6831,+267.6,+0.5966,0,000
1559855011.3618357,+231.1,+0.6833,+267.5,+0.5967,0,000
1559855033.3876772,+231.0,+0.6834,+267.5,+0.5968,0,000
1559855055.413225,+230.9,+0.6836,+267.4,+0.5969,0,000
1559855077.4391987,+230.9,+0.6838,+267.4,+0.5970,0,000
1559855099.464503,+230.8,+0.6839,+267.4,+0.5971,0,000
1559855121.4899566,+230.7,+0.6841,+267.3,+0.5972,0,000
1559855143.5155518,+230.7,+0.6843,+267.3,+0.5974,0,000
1559855165.541128,+230.6,+0.6845,+267.2,+0.5975,0,000
1559855187.5665808,+230.5,+0.6846,+267.2,+0.5976,0,000
1559855209.5922396,+230.4,+0.6848,+267.1,+0.5977,0,000
1559855231.6175504,+230.4,+0.6850,+267.1,+0.5978,0,000
1559855253.6415951,+230.3,+0.6851,+267.0,+0.5979,0,000
1559855275.665533,+230.2,+0.6853,+267.0,+0.5980,0,000
1559855297.6910233,+230.2,+0.6855,+266.9,+0.5981,0,000
1559855319.7157362,+230.1,+0.6856,+266.9,+0.5982,0,000
1559855341.7412019,+230.0,+0.6858,+266.8,+0.5983,0,000
1559855363.7666488,+229.9,+0.6860,+266.8,+0.5984,0,000
1559855385.7919497,+229.9,+0.6862,+266.8,+0.5986,0,000
1559855407.816345,+229.8,+0.6863,+266.7,+0.5987,0,000
1559855429.8411093,+229.7,+0.6865,+266.7,+0.5988,0,000
1559855451.8663034,+229.6,+0.6867,+266.6,+0.5989,0,000
1559855473.8908744,+229.6,+0.6868,+266.6,+0.5990,0,000
1559855495.9130232,+229.5,+0.6870,+266.5,+0.5991,0,000
1559855517.9382207,+229.4,+0.6872,+266.5,+0.5992,0,000
1559855539.963647,+229.4,+0.6874,+266.4,+0.5993,0,000
1559855561.9876761,+229.3,+0.6875,+266.4,+0.5994,0,000
1559855584.012397,+229.2,+0.6877,+266.3,+0.5995,0,000
1559855606.0380301,+229.1,+0.6878,+266.3,+0.5997,0,000
1559855628.0636117,+229.1,+0.6880,+266.2,+0.5998,0,000
1559855650.0880983,+229.0,+0.6882,+266.2,+0.5999,0,000
1559855672.1130226,+228.9,+0.6884,+266.2,+0.6000,0,000
1559855694.1356297,+228.8,+0.6885,+266.1,+0.6001,0,000
1559855716.1589332,+228.8,+0.6887,+266.1,+0.6002,0,000
1559855738.1843758,+228.7,+0.6889,+266.0,+0.6003,0,000
1559855760.2099607,+228.6,+0.6890,+266.0,+0.6004,0,000
1559855782.235657,+228.6,+0.6892,+265.9,+0.6005,0,000
1559855804.2614434,+228.5,+0.6894,+265.9,+0.6006,0,000
1559855826.2869666,+228.4,+0.6895,+265.8,+0.6007,0,000
1559855848.3125243,+228.3,+0.6897,+265.8,+0.6009,0,000
1559855870.3380883,+228.3,+0.6899,+265.7,+0.6010,0,000
1559855892.3637295,+228.2,+0.6900,+265.7,+0.6011,0,000
1559855914.388405,+228.1,+0.6902,+265.6,+0.6012,0,000
1559855936.4137025,+228.0,+0.6904,+265.6,+0.6013,0,000
1559855958.439056,+228.0,+0.6906,+265.6,+0.6014,0,000
1559855980.4645927,+227.9,+0.6907,+265.5,+0.6015,0,000
1559856002.489056,+227.8,+0.6909,+265.5,+0.6016,0,000
1559856024.5147214,+227.7,+0.6911,+265.4,+0.6017,0,000
1559856046.54054,+227.7,+0.6912,+265.4,+0.6019,0,000
1559856068.5663173,+227.6,+0.6914,+265.3,+0.6020,0,000
1559856090.5917253,+227.5,+0.6916,+265.3,+0.6021,0,000
1559856112.6177018,+227.4,+0.6918,+265.2,+0.6022,0,000
1559856134.6431086,+227.4,+0.6919,+265.2,+0.6023,0,000
1559856156.667647,+227.3,+0.6921,+265.1,+0.6024,0,000
1559856178.6929832,+227.2,+0.6923,+265.1,+0.6025,0,000
1559856200.7184207,+227.2,+0.6924,+265.0,+0.6026,0,000
1559856222.7442427,+227.1,+0.6926,+265.0,+0.6027,0,000
1559856244.7676961,+227.0,+0.6928,+264.9,+0.6028,0,000
1559856266.7922916,+226.9,+0.6929,+264.9,+0.6030,0,000
1559856288.8159537,+226.9,+0.6931,+264.9,+0.6031,0,000
1559856310.8417664,+226.8,+0.6933,+264.8,+0.6032,0,000
1559856332.8674912,+226.7,+0.6934,+264.8,+0.6033,0,000
1559856354.8928092,+226.7,+0.6936,+264.7,+0.6034,0,000
1559856376.9161665,+226.6,+0.6938,+264.7,+0.6035,0,000
1559856398.9408507,+226.5,+0.6939,+264.6,+0.6036,0,000
1559856420.964949,+226.5,+0.6941,+264.6,+0.6037,0,000
1559856442.9903579,+226.4,+0.6943,+264.5,+0.6038,0,000
1559856465.015924,+226.3,+0.6944,+264.5,+0.6039,0,000
1559856487.0417316,+226.2,+0.6946,+264.4,+0.6040,0,000
1559856509.0664499,+226.2,+0.6948,+264.4,+0.6042,0,000
1559856531.0923882,+226.1,+0.6949,+264.3,+0.6043,0,000
1559856553.1179144,+226.0,+0.6951,+264.3,+0.6044,0,000
1559856575.1436884,+225.9,+0.6953,+264.3,+0.6045,0,000
1559856597.1697528,+225.9,+0.6954,+264.2,+0.6046,0,000
1559856619.1935494,+225.8,+0.6956,+264.2,+0.6047,0,000
1559856641.2193706,+225.7,+0.6958,+264.1,+0.6048,0,000
1559856663.2443597,+225.7,+0.6959,+264.1,+0.6049,0,000
1559856685.2688231,+225.6,+0.6961,+264.0,+0.6050,0,000
1559856707.2942748,+225.5,+0.6963,+264.0,+0.6052,0,000
1559856729.318549,+225.4,+0.6964,+263.9,+0.6053,0,000
1559856751.344165,+225.4,+0.6966,+263.9,+0.6054,0,000
1559856773.3699338,+225.3,+0.6968,+263.8,+0.6055,0,000
1559856795.3956583,+225.2,+0.6969,+263.8,+0.6056,0,000
1559856817.4203303,+225.1,+0.6971,+263.7,+0.6057,0,000
1559856839.4459786,+225.1,+0.6973,+263.7,+0.6058,0,000
1559856861.4690447,+225.0,+0.6975,+263.7,+0.6059,0,000
1559856883.4947028,+224.9,+0.6976,+263.6,+0.6060,0,000
1559856905.5202794,+224.9,+0.6978,+263.6,+0.6061,0,000
1559856927.5436282,+224.8,+0.6980,+263.5,+0.6062,0,000
1559856949.5693698,+224.7,+0.6981,+263.5,+0.6064,0,000
1559856971.59513,+224.6,+0.6983,+263.4,+0.6065,0,000
1559856993.620648,+224.6,+0.6985,+263.4,+0.6066,0,000
1559857015.6463385,+224.5,+0.6986,+263.3,+0.6067,0,000
1559857037.6716628,+224.4,+0.6988,+263.3,+0.6068,0,000
1559857059.6969972,+224.4,+0.6990,+263.2,+0.6069,0,000
1559857081.722692,+224.3,+0.6991,+263.2,+0.6070,0,000
1559857103.7482188,+224.2,+0.6993,+263.1,+0.6071,0,000
1559857125.7730136,+224.1,+0.6995,+263.1,+0.6072,0,000
1559857147.7976892,+224.1,+0.6996,+263.0,+0.6073,0,000
1559857169.8222919,+224.0,+0.6998,+263.0,+0.6075,0,000
1559857191.8476741,+223.9,+0.7000,+263.0,+0.6076,0,000
1559857213.8730109,+223.8,+0.7001,+262.9,+0.6077,0,000
1559857235.8971276,+223.8,+0.7003,+262.9,+0.6078,0,000
1559857257.9214048,+223.7,+0.7005,+262.8,+0.6079,0,000
1559857279.9467807,+223.6,+0.7006,+262.8,+0.6080,0,000
1559857301.9722214,+223.6,+0.7008,+262.7,+0.6081,0,000
1559857323.9977808,+223.5,+0.7010,+262.7,+0.6082,0,000
1559857346.0231645,+223.4,+0.7011,+262.6,+0.6083,0,000
1559857368.048645,+223.4,+0.7013,+262.6,+0.6085,0,000
1559857390.0740454,+223.3,+0.7015,+262.5,+0.6086,0,000
1559857412.0997102,+223.2,+0.7016,+262.5,+0.6087,0,000
1559857434.1253734,+223.1,+0.7018,+262.4,+0.6088,0,000
1559857456.1509316,+223.1,+0.7020,+262.4,+0.6089,0,000
1559857478.1763513,+223.0,+0.7021,+262.4,+0.6090,0,000
1559857500.2018375,+222.9,+0.7023,+262.3,+0.6091,0,000
1559857522.2273,+222.8,+0.7025,+262.3,+0.6092,0,000
1559857544.2523108,+222.8,+0.7026,+262.2,+0.6093,0,000
1559857566.2769222,+222.7,+0.7028,+262.2,+0.6094,0,000
1559857588.3024595,+222.6,+0.7030,+262.1,+0.6096,0,000
1559857610.3280213,+222.6,+0.7031,+262.1,+0.6097,0,000
1559857632.3535523,+222.5,+0.7033,+262.0,+0.6098,0,000
1559857654.37914,+222.4,+0.7035,+262.0,+0.6099,0,000
1559857676.4047704,+222.3,+0.7036,+261.9,+0.6100,0,000
1559857698.428932,+222.3,+0.7038,+261.9,+0.6101,0,000
1559857720.451093,+222.2,+0.7040,+261.8,+0.6102,0,000
1559857742.4767282,+222.1,+0.7041,+261.8,+0.6103,0,000
1559857764.4990811,+222.1,+0.7043,+261.7,+0.6104,0,000
1559857786.5246315,+222.0,+0.7045,+261.7,+0.6106,0,000
1559857808.547078,+221.9,+0.7046,+261.7,+0.6107,0,000
1559857830.5726845,+221.8,+0.7048,+261.6,+0.6108,0,000
1559857852.5950072,+221.8,+0.7050,+261.6,+0.6109,0,000
1559857874.6205397,+221.7,+0.7051,+261.5,+0.6110,0,000
1559857896.6430306,+221.6,+0.7053,+261.5,+0.6111,0,000
1559857918.6682925,+221.6,+0.7054,+261.4,+0.6112,0,000
1559857940.6910877,+221.5,+0.7056,+261.4,+0.6113,0,000
1559857962.7163377,+221.4,+0.7058,+261.3,+0.6114,0,000
1559857984.7409549,+221.3,+0.7059,+261.3,+0.6115,0,000
1559858006.7663896,+221.3,+0.7061,+261.2,+0.6116,0,000
1559858028.791867,+221.2,+0.7063,+261.2,+0.6118,0,000
1559858050.8168476,+221.1,+0.7065,+261.1,+0.6119,0,000
1559858072.839123,+221.1,+0.7066,+261.1,+0.6120,0,000
1559858094.8643007,+221.0,+0.7068,+261.1,+0.6121,0,000
1559858116.889438,+220.9,+0.7070,+261.0,+0.6122,0,000
1559858138.915052,+220.8,+0.7071,+261.0,+0.6123,0,000
1559858160.9390304,+220.8,+0.7073,+260.9,+0.6124,0,000
1559858182.9646208,+220.7,+0.7074,+260.9,+0.6125,0,000
1559858204.9902978,+220.6,+0.7076,+260.8,+0.6126,0,000
1559858227.015673,+220.6,+0.7078,+260.8,+0.6127,0,000
1559858249.0413136,+220.5,+0.7079,+260.7,+0.6129,0,000
1559858271.0669706,+220.4,+0.7081,+260.7,+0.6130,0,000
1559858293.0916665,+220.3,+0.7083,+260.6,+0.6131,0,000
1559858315.1173222,+220.3,+0.7084,+260.6,+0.6132,0,000
1559858337.1429226,+220.2,+0.7086,+260.5,+0.6133,0,000
1559858359.168401,+220.1,+0.7088,+260.5,+0.6134,0,000
1559858381.193986,+220.1,+0.7089,+260.5,+0.6135,0,000
1559858403.2196422,+220.0,+0.7091,+260.4,+0.6136,0,000
1559858425.2452757,+219.9,+0.7093,+260.4,+0.6137,0,000
1559858447.270547,+219.8,+0.7094,+260.3,+0.6138,0,000
1559858469.2959828,+219.8,+0.7096,+260.3,+0.6140,0,000
1559858491.3216224,+219.7,+0.7098,+260.2,+0.6141,0,000
1559858513.3470984,+219.6,+0.7099,+260.2,+0.6142,0,000
1559858535.3717294,+219.6,+0.7101,+260.1,+0.6143,0,000
1559858557.3956816,+219.5,+0.7103,+260.1,+0.6144,0,000
1559858579.4212599,+219.4,+0.7104,+260.0,+0.6145,0,000
1559858601.4467921,+219.3,+0.7106,+260.0,+0.6146,0,000
1559858623.4723465,+219.3,+0.7107,+259.9,+0.6147,0,000
1559858645.498052,+219.2,+0.7109,+259.9,+0.6148,0,000
1559858667.5235453,+219.1,+0.7111,+259.8,+0.6149,0,000
1559858689.5492692,+219.1,+0.7112,+259.8,+0.6151,0,000
1559858711.57489,+219.0,+0.7114,+259.8,+0.6152,0,000
1559858733.60049,+218.9,+0.7116,+259.7,+0.6153,0,000
1559858755.6260922,+218.9,+0.7117,+259.7,+0.6154,0,000
1559858777.651612,+218.8,+0.7119,+259.6,+0.6155,0,000
1559858799.6769724,+218.7,+0.7121,+259.6,+0.6156,0,000
1559858821.7026086,+218.6,+0.7122,+259.5,+0.6157,0,000
1559858843.7277217,+218.6,+0.7124,+259.5,+0.6158,0,000
1559858865.7533858,+218.5,+0.7126,+259.4,+0.6159,0,000
1559858887.7782812,+218.4,+0.7127,+259.4,+0.6160,0,000
1559858909.8029916,+218.4,+0.7129,+259.3,+0.6162,0,000
1559858931.828646,+218.3,+0.7131,+259.3,+0.6163,0,000
1559858953.8517165,+218.2,+0.7132,+259.2,+0.6164,0,000
1559858975.8769755,+218.1,+0.7134,+259.2,+0.6165,0,000
1559858997.9010513,+218.1,+0.7136,+259.2,+0.6166,0,000
1559859019.925543,+218.0,+0.7137,+259.1,+0.6167,0,000
1559859041.9476826,+217.9,+0.7139,+259.1,+0.6168,0,000
1559859063.9716308,+217.9,+0.7140,+259.0,+0.6169,0,000
1559859085.9957094,+217.8,+0.7142,+259.0,+0.6170,0,000
1559859108.0190396,+217.7,+0.7144,+258.9,+0.6171,0,000
1559859130.0434835,+217.7,+0.7145,+258.9,+0.6173,0,000
1559859152.0649953,+217.6,+0.7147,+258.8,+0.6174,0,000
1559859174.090278,+217.5,+0.7149,+258.8,+0.6175,0,000
1559859196.1157944,+217.4,+0.7150,+258.7,+0.6176,0,000
1559859218.1409538,+217.4,+0.7152,+258.7,+0.6177,0,000
1559859240.1653686,+217.3,+0.7154,+258.6,+0.6178,0,000
1559859262.1907446,+217.2,+0.7155,+258.6,+0.6179,0,000
1559859284.2157323,+217.2,+0.7157,+258.6,+0.6180,0,000
1559859306.239688,+217.1,+0.7158,+258.5,+0.6181,0,000
1559859328.2643652,+217.0,+0.7160,+258.5,+0.6182,0,000
1559859350.2895534,+216.99,+0.7162,+258.4,+0.6184,0,000
1559859372.3128688,+216.9,+0.7163,+258.4,+0.6185,0,000
1559859394.3381555,+216.8,+0.7165,+258.3,+0.6186,0,000
1559859416.3631887,+216.7,+0.7167,+258.3,+0.6187,0,000
1559859438.3885674,+216.7,+0.7168,+258.2,+0.6188,0,000
1559859460.414259,+216.6,+0.7170,+258.2,+0.6189,0,000
1559859482.4397013,+216.5,+0.7171,+258.1,+0.6190,0,000
1559859504.4653316,+216.5,+0.7173,+258.1,+0.6191,0,000
1559859526.4908435,+216.4,+0.7175,+258.0,+0.6192,0,000
1559859548.5165079,+216.3,+0.7176,+258.0,+0.6193,0,000
1559859570.541773,+216.3,+0.7178,+258.0,+0.6195,0,000
1559859592.5671089,+216.2,+0.7180,+257.9,+0.6196,0,000
1559859614.5915155,+216.1,+0.7181,+257.9,+0.6197,0,000
1559859636.6172075,+216.0,+0.7183,+257.8,+0.6198,0,000
1559859658.6428034,+216.0,+0.7185,+257.8,+0.6199,0,000
1559859680.6683705,+215.9,+0.7186,+257.7,+0.6200,0,000
1559859702.6940136,+215.8,+0.7188,+257.7,+0.6201,0,000
1559859724.7195766,+215.8,+0.7189,+257.6,+0.6202,0,000
1559859746.745345,+215.7,+0.7191,+257.6,+0.6203,0,000
1559859768.7710955,+215.6,+0.7193,+257.5,+0.6204,0,000
1559859790.7964656,+215.6,+0.7194,+257.5,+0.6205,0,000
1559859812.8220363,+215.5,+0.7196,+257.4,+0.6207,0,000
1559859834.84547,+215.4,+0.7198,+257.4,+0.6208,0,000
1559859856.8688192,+215.3,+0.7199,+257.4,+0.6209,0,000
1559859878.8924396,+215.3,+0.7201,+257.3,+0.6210,0,000
1559859900.9181669,+215.2,+0.7202,+257.3,+0.6211,0,000
1559859922.9425364,+215.1,+0.7204,+257.2,+0.6212,0,000
1559859944.968296,+215.1,+0.7206,+257.2,+0.6213,0,000
