t,Sensor V [V],Control T [K],Control V [V],Heater Range [a.u.],Heater % [a.u.],Setpoint T [K]
1561157954.7207363,+0.5705,+296.4,+0.5276,0,000,+001.69
1561157976.7464364,+0.5705,+296.4,+0.5276,0,000,+001.69
1561157998.7721934,+0.5705,+296.4,+0.5276,0,000,+001.69
1561158020.797751,+0.5705,+296.4,+0.5276,0,000,+001.69
1561158042.823499,+0.5705,+296.4,+0.5276,0,000,+001.69
1561158064.8491206,+0.5705,+296.4,+0.5276,0,000,+001.69
1561158086.874582,+0.5705,+296.4,+0.5276,0,000,+001.69
1561158108.9000978,+0.5705,+296.4,+0.5276,0,000,+001.69
1561158130.9251933,+0.5705,+296.4,+0.5276,0,000,+001.69
1561158152.950682,+0.5705,+296.4,+0.5276,0,000,+001.69
1561158174.9764323,+0.5705,+296.4,+0.5276,0,000,+001.69
1561158197.002016,+0.5705,+296.4,+0.5276,0,000,+001.69
1561158219.0276217,+0.5705,+296.4,+0.5276,0,000,+001.69
1561158241.0532959,+0.5705,+296.4,+0.5276,0,000,+001.69
1561158263.0787306,+0.5705,+296.4,+0.5276,0,000,+001.69
1561158285.1042852,+0.5705,+296.4,+0.5276,0,000,+001.69
1561158307.1297588,+0.5705,+296.3,+0.5277,0,000,+001.69
1561158329.1553566,+0.5705,+296.3,+0.5277,0,000,+001.69
1561158351.1811075,+0.5705,+296.3,+0.5277,0,000,+001.69
1561158373.2065675,+0.5705,+296.3,+0.5277,0,000,+001.69
1561158395.232272,+0.5705,+296.4,+0.5276,0,000,+001.69
1561158417.2577128,+0.5705,+296.3,+0.5277,0,000,+001.69
1561158439.283004,+0.5705,+296.3,+0.5277,0,000,+001.69
1561158461.308664,+0.5705,+296.3,+0.5277,0,000,+001.69
1561158483.3341205,+0.5705,+296.3,+0.5277,0,000,+001.69
1561158505.3595703,+0.5705,+296.3,+0.5277,0,000,+001.69
1561158527.3851511,+0.5705,+296.3,+0.5277,0,000,+001.69
1561158549.410481,+0.5705,+296.3,+0.5277,0,000,+001.69
1561158571.4357874,+0.5705,+296.3,+0.5277,0,000,+001.69
1561158593.461365,+0.5705,+296.3,+0.5277,0,000,+001.69
1561158615.4868991,+0.5705,+296.3,+0.5277,0,000,+001.69
1561158637.5126424,+0.5705,+296.3,+0.5277,0,000,+001.69
1561158659.538302,+0.5705,+296.3,+0.5277,0,000,+001.69
1561158681.5637934,+0.5705,+296.3,+0.5277,0,000,+001.69
1561158703.5894725,+0.5705,+296.3,+0.5277,0,000,+001.69
1561158725.6151283,+0.5705,+296.3,+0.5277,0,000,+001.69
1561158747.6406946,+0.5705,+296.3,+0.5277,0,000,+001.69
1561158769.666347,+0.5705,+296.3,+0.5277,0,000,+001.69
1561158791.6919472,+0.5705,+296.3,+0.5277,0,000,+001.69
1561158813.717498,+0.5705,+296.3,+0.5277,0,000,+001.69
1561158835.7430532,+0.5705,+296.3,+0.5277,0,000,+001.69
1561158857.768689,+0.5705,+296.3,+0.5277,0,000,+001.69
1561158879.7943292,+0.5705,+296.3,+0.5277,0,000,+001.69
1561158901.8199441,+0.5705,+296.3,+0.5277,0,000,+001.69
1561158923.8453948,+0.5705,+296.3,+0.5277,0,000,+001.69
1561158945.8710442,+0.5705,+296.3,+0.5277,0,000,+001.69
1561158967.8967512,+0.5705,+296.3,+0.5277,0,000,+001.69
1561158989.9222953,+0.5705,+296.3,+0.5277,0,000,+001.69
1561159011.9480197,+0.5705,+296.3,+0.5277,0,000,+001.69
1561159033.973529,+0.5705,+296.3,+0.5277,0,000,+001.69
1561159055.9992764,+0.5705,+296.3,+0.5277,0,000,+001.69
1561159078.0242555,+0.5705,+296.3,+0.5277,0,000,+001.69
1561159100.0499156,+0.5705,+296.3,+0.5277,0,000,+001.69
1561159122.0756462,+0.5705,+296.3,+0.5277,0,000,+001.69
1561159144.1011798,+0.5706,+296.3,+0.5277,0,000,+001.69
1561159166.1267192,+0.5706,+296.3,+0.5277,0,000,+001.69
1561159188.152436,+0.5706,+296.3,+0.5277,0,000,+001.69
1561159210.177783,+0.5706,+296.3,+0.5277,0,000,+001.69
1561159232.2033353,+0.5706,+296.3,+0.5277,0,000,+001.69
1561159254.2290761,+0.5706,+296.3,+0.5277,0,000,+001.69
1561159276.2545888,+0.5706,+296.3,+0.5277,0,000,+001.69
1561159298.2802813,+0.5706,+296.3,+0.5277,0,000,+001.69
1561159320.3057652,+0.5706,+296.3,+0.5277,0,000,+001.69
1561159342.3312979,+0.5706,+296.3,+0.5277,0,000,+001.69
1561159364.3570468,+0.5706,+296.3,+0.5277,0,000,+001.69
1561159386.3827496,+0.5706,+296.3,+0.5277,0,000,+001.69
1561159408.4082222,+0.5706,+296.3,+0.5277,0,000,+001.69
1561159430.433798,+0.5706,+296.3,+0.5277,0,000,+001.69
1561159452.459016,+0.5706,+296.3,+0.5277,0,000,+001.69
1561159474.4846463,+0.5706,+296.3,+0.5277,0,000,+001.69
1561159496.5100958,+0.5706,+296.3,+0.5277,0,000,+001.69
1561159518.5355296,+0.5706,+296.3,+0.5277,0,000,+001.69
1561159540.5611565,+0.5706,+296.3,+0.5277,0,000,+001.69
1561159562.5867796,+0.5706,+296.3,+0.5277,0,000,+001.69
1561159584.612125,+0.5706,+296.3,+0.5277,0,000,+001.69
1561159606.6378007,+0.5706,+296.3,+0.5277,0,000,+001.69
1561159628.6635172,+0.5706,+296.3,+0.5277,0,000,+001.69
1561159650.688978,+0.5706,+296.3,+0.5277,0,000,+001.69
1561159672.7144096,+0.5706,+296.3,+0.5277,0,000,+001.69
1561159694.7397852,+0.5706,+296.3,+0.5277,0,000,+001.69
1561159716.7652726,+0.5706,+296.3,+0.5277,0,000,+001.69
1561159738.7908988,+0.5706,+296.3,+0.5277,0,000,+001.69
1561159760.8161528,+0.5706,+296.3,+0.5277,0,000,+001.69
1561159782.8418334,+0.5706,+296.3,+0.5277,0,000,+001.69
1561159804.8671026,+0.5706,+296.3,+0.5277,0,000,+001.69
1561159826.8916285,+0.5706,+296.3,+0.5277,0,000,+001.69
1561159848.9171999,+0.5706,+296.3,+0.5277,0,000,+001.69
1561159870.940716,+0.5706,+296.3,+0.5277,0,000,+001.69
1561159892.9663718,+0.5706,+296.3,+0.5277,0,000,+001.69
1561159914.9922407,+0.5706,+296.3,+0.5277,0,000,+001.69
1561159937.0174494,+0.5706,+296.3,+0.5277,0,000,+001.69
1561159959.0431352,+0.5706,+296.3,+0.5277,0,000,+001.69
1561159981.068949,+0.5706,+296.3,+0.5277,0,000,+001.69
1561160003.094674,+0.5706,+296.3,+0.5277,0,000,+001.69
1561160025.1203916,+0.5706,+296.3,+0.5277,0,000,+001.69
1561160047.145997,+0.5706,+296.3,+0.5277,0,000,+001.69
1561160069.1693609,+0.5706,+296.3,+0.5277,0,000,+001.69
1561160091.1937523,+0.5706,+296.3,+0.5277,0,000,+001.69
1561160113.2191255,+0.5706,+296.3,+0.5277,0,000,+001.69
1561160135.2447758,+0.5706,+296.3,+0.5277,0,000,+001.69
1561160157.2705133,+0.5706,+296.3,+0.5277,0,000,+001.69
1561160179.295975,+0.5706,+296.3,+0.5277,0,000,+001.69
1561160201.321616,+0.5706,+296.3,+0.5277,0,000,+001.69
1561160223.3471518,+0.5706,+296.3,+0.5277,0,000,+001.69
1561160245.3724787,+0.5706,+296.3,+0.5277,0,000,+001.69
1561160267.3960545,+0.5706,+296.3,+0.5277,0,000,+001.69
1561160289.4216466,+0.5706,+296.3,+0.5277,0,000,+001.69
1561160311.4460845,+0.5706,+296.3,+0.5277,0,000,+001.69
1561160333.4717088,+0.5706,+296.3,+0.5277,0,000,+001.69
1561160355.497226,+0.5706,+296.3,+0.5277,0,000,+001.69
