t,Sensor V [V],Control T [K],Control V [V],Heater Range [a.u.],Heater % [a.u.]
1559856338.7529464,+0.7363,+220.5,+0.7080,0,000
1559856356.7729304,+0.7364,+220.4,+0.7082,0,000
1559856374.7929764,+0.7365,+220.3,+0.7083,0,000
1559856392.813098,+0.7366,+220.3,+0.7084,0,000
1559856410.8337653,+0.7368,+220.2,+0.7086,0,000
1559856428.8547564,+0.7369,+220.1,+0.7087,0,000
1559856446.875547,+0.7370,+220.1,+0.7089,0,000
1559856464.8961768,+0.7372,+220.0,+0.7090,0,000
1559856482.9172275,+0.7373,+220.0,+0.7092,0,000
1559856500.9364285,+0.7374,+219.9,+0.7093,0,000
1559856518.9575243,+0.7375,+219.8,+0.7095,0,000
1559856536.978575,+0.7377,+219.8,+0.7096,0,000
1559856554.9990914,+0.7378,+219.7,+0.7098,0,000
1559856573.0197592,+0.7379,+219.7,+0.7099,0,000
1559856591.0404832,+0.7381,+219.6,+0.7100,0,000
1559856609.0613937,+0.7382,+219.5,+0.7102,0,000
1559856627.0823784,+0.7383,+219.5,+0.7103,0,000
1559856645.1031094,+0.7384,+219.4,+0.7105,0,000
1559856663.124147,+0.7386,+219.3,+0.7106,0,000
1559856681.1446657,+0.7387,+219.3,+0.7108,0,000
1559856699.1646585,+0.7388,+219.2,+0.7109,0,000
1559856717.184927,+0.7390,+219.2,+0.7111,0,000
1559856735.2058423,+0.7391,+219.1,+0.7112,0,000
1559856753.2249982,+0.7392,+219.0,+0.7113,0,000
1559856771.2460012,+0.7393,+219.0,+0.7115,0,000
1559856789.2656205,+0.7395,+218.9,+0.7116,0,000
1559856807.2865515,+0.7396,+218.8,+0.7118,0,000
1559856825.3073826,+0.7397,+218.8,+0.7119,0,000
1559856843.3282888,+0.7399,+218.7,+0.7121,0,000
1559856861.349288,+0.7400,+218.7,+0.7122,0,000
1559856879.3702605,+0.7401,+218.6,+0.7123,0,000
1559856897.391118,+0.7402,+218.5,+0.7125,0,000
1559856915.4116416,+0.7404,+218.5,+0.7126,0,000
1559856933.432585,+0.7405,+218.4,+0.7128,0,000
1559856951.4537432,+0.7406,+218.3,+0.7129,0,000
1559856969.4748926,+0.7408,+218.3,+0.7131,0,000
1559856987.4957306,+0.7409,+218.2,+0.7132,0,000
1559857005.5168333,+0.7410,+218.2,+0.7134,0,000
1559857023.5378184,+0.7411,+218.1,+0.7135,0,000
1559857041.5587807,+0.7413,+218.0,+0.7136,0,000
1559857059.5798771,+0.7414,+218.0,+0.7138,0,000
1559857077.6010113,+0.7415,+217.9,+0.7139,0,000
1559857095.6216366,+0.7416,+217.9,+0.7141,0,000
1559857113.642712,+0.7418,+217.8,+0.7142,0,000
1559857131.6637948,+0.7419,+217.7,+0.7144,0,000
1559857149.6849182,+0.7420,+217.7,+0.7145,0,000
1559857167.7059417,+0.7422,+217.6,+0.7147,0,000
1559857185.7268372,+0.7423,+217.5,+0.7148,0,000
1559857203.747771,+0.7424,+217.5,+0.7149,0,000
1559857221.7686648,+0.7425,+217.4,+0.7151,0,000
1559857239.7897384,+0.7427,+217.4,+0.7152,0,000
1559857257.8102875,+0.7428,+217.3,+0.7154,0,000
1559857275.8309493,+0.7429,+217.2,+0.7155,0,000
1559857293.851847,+0.7431,+217.2,+0.7157,0,000
1559857311.872785,+0.7432,+217.1,+0.7158,0,000
1559857329.892339,+0.7433,+217.0,+0.7160,0,000
1559857347.9122396,+0.7434,+217.0,+0.7161,0,000
1559857365.931175,+0.7436,+216.9,+0.7162,0,000
1559857383.9524324,+0.7437,+216.9,+0.7164,0,000
1559857401.9736187,+0.7438,+216.8,+0.7165,0,000
1559857419.9924212,+0.7440,+216.7,+0.7167,0,000
1559857438.01365,+0.7441,+216.7,+0.7168,0,000
1559857456.0347424,+0.7442,+216.6,+0.7170,0,000
1559857474.0559318,+0.7443,+216.6,+0.7171,0,000
1559857492.0771375,+0.7445,+216.5,+0.7172,0,000
1559857510.0980136,+0.7446,+216.4,+0.7174,0,000
1559857528.1189935,+0.7447,+216.4,+0.7175,0,000
1559857546.1388783,+0.7449,+216.3,+0.7177,0,000
1559857564.159824,+0.7450,+216.2,+0.7178,0,000
1559857582.1809802,+0.7451,+216.2,+0.7179,0,000
1559857600.2010193,+0.7452,+216.1,+0.7181,0,000
1559857618.2217338,+0.7454,+216.1,+0.7182,0,000
1559857636.2427368,+0.7455,+216.0,+0.7184,0,000
1559857654.2637136,+0.7456,+215.9,+0.7185,0,000
1559857672.2848253,+0.7457,+215.9,+0.7187,0,000
1559857690.3053474,+0.7459,+215.8,+0.7188,0,000
1559857708.3248615,+0.7460,+215.8,+0.7189,0,000
1559857726.3459477,+0.7461,+215.7,+0.7191,0,000
1559857744.3669066,+0.7463,+215.6,+0.7192,0,000
1559857762.387979,+0.7464,+215.6,+0.7194,0,000
1559857780.4090009,+0.7465,+215.5,+0.7195,0,000
1559857798.430337,+0.7466,+215.4,+0.7197,0,000
1559857816.4515235,+0.7467,+215.4,+0.7198,0,000
1559857834.4728687,+0.7469,+215.3,+0.7199,0,000
1559857852.4939444,+0.7470,+215.3,+0.7201,0,000
1559857870.5148723,+0.7471,+215.2,+0.7202,0,000
1559857888.5350928,+0.7473,+215.1,+0.7204,0,000
1559857906.5560427,+0.7474,+215.1,+0.7205,0,000
1559857924.5770113,+0.7475,+215.0,+0.7207,0,000
1559857942.598228,+0.7476,+215.0,+0.7208,0,000
1559857960.6193624,+0.7478,+214.9,+0.7210,0,000
1559857978.6405337,+0.7479,+214.8,+0.7211,0,000
1559857996.660709,+0.7480,+214.8,+0.7212,0,000
1559858014.6816285,+0.7482,+214.7,+0.7214,0,000
1559858032.7025187,+0.7483,+214.7,+0.7215,0,000
1559858050.7233996,+0.7484,+214.6,+0.7217,0,000
1559858068.7443862,+0.7485,+214.5,+0.7218,0,000
1559858086.7637596,+0.7487,+214.5,+0.7220,0,000
1559858104.7837253,+0.7488,+214.4,+0.7221,0,000
1559858122.8041377,+0.7489,+214.3,+0.7222,0,000
1559858140.82531,+0.7490,+214.3,+0.7224,0,000
1559858158.8464434,+0.7492,+214.2,+0.7225,0,000
1559858176.8675976,+0.7493,+214.2,+0.7227,0,000
1559858194.8885636,+0.7494,+214.1,+0.7228,0,000
1559858212.9089067,+0.7495,+214.0,+0.7230,0,000
1559858230.9276204,+0.7497,+214.0,+0.7231,0,000
1559858248.9486763,+0.7498,+213.9,+0.7232,0,000
1559858266.969746,+0.7499,+213.9,+0.7234,0,000
1559858284.9909794,+0.7500,+213.8,+0.7235,0,000
