t,Sensor V [V],Control T [K],Control V [V],Heater Range [a.u.],Heater % [a.u.],Setpoint T [K]
1568167540.8039782,+0.7985,+197.52,+0.7613,0,000,+003.26
1568167572.8364277,+0.7988,+197.42,+0.7616,0,000,+003.26
1568167604.8720758,+0.7990,+197.33,+0.7618,0,000,+003.26
1568167636.9060805,+0.7992,+197.22,+0.7620,0,000,+003.26
1568167668.9393046,+0.7994,+197.12,+0.7623,0,000,+003.26
1568167700.9743984,+0.7996,+197.03,+0.7625,0,000,+003.26
1568167733.008554,+0.7998,+196.93,+0.7627,0,000,+003.26
1568167765.0421288,+0.8000,+196.83,+0.7630,0,000,+003.26
1568167797.076408,+0.8002,+196.73,+0.7632,0,000,+003.26
1568167829.1119366,+0.8005,+196.63,+0.7634,0,000,+003.26
1568167861.1454048,+0.8007,+196.53,+0.7637,0,000,+003.26
1568167893.179499,+0.8009,+196.44,+0.7639,0,000,+003.26
1568167925.2155385,+0.8011,+196.34,+0.7641,0,000,+003.26
1568167957.2500997,+0.8013,+196.24,+0.7643,0,000,+003.26
1568167989.2836616,+0.8015,+196.14,+0.7646,0,000,+003.26
1568168021.317088,+0.8017,+196.04,+0.7648,0,000,+003.26
1568168053.3520284,+0.8019,+195.94,+0.7650,0,000,+003.26
1568168085.387188,+0.8021,+195.84,+0.7653,0,000,+003.26
1568168117.4230416,+0.8024,+195.74,+0.7655,0,000,+003.26
1568168149.45857,+0.8026,+195.65,+0.7657,0,000,+003.26
1568168181.492889,+0.8028,+195.55,+0.7660,0,000,+003.26
1568168213.5266597,+0.8030,+195.45,+0.7662,0,000,+003.26
1568168245.5607731,+0.8032,+195.35,+0.7664,0,000,+003.26
1568168277.5948863,+0.8034,+195.25,+0.7666,0,000,+003.26
1568168309.6307683,+0.8036,+195.15,+0.7669,0,000,+003.26
1568168341.6668944,+0.8038,+195.05,+0.7671,0,000,+003.26
1568168373.702631,+0.8041,+194.95,+0.7673,0,000,+003.26
1568168405.7353241,+0.8043,+194.85,+0.7675,0,000,+003.26
1568168437.7693403,+0.8045,+194.75,+0.7678,0,000,+003.26
1568168469.8024714,+0.8047,+194.65,+0.7680,0,000,+003.26
1568168501.836483,+0.8049,+194.56,+0.7682,0,000,+003.26
1568168533.862681,+0.8051,+194.45,+0.7685,0,000,+003.26
1568168565.8931732,+0.8053,+194.35,+0.7687,0,000,+003.26
1568168597.9276202,+0.8055,+194.25,+0.7689,0,000,+003.26
1568168629.957465,+0.8057,+194.15,+0.7692,0,000,+003.26
1568168661.99157,+0.8059,+194.05,+0.7694,0,000,+003.26
1568168694.0265653,+0.8062,+193.95,+0.7696,0,000,+003.26
1568168726.0591862,+0.8064,+193.85,+0.7698,0,000,+003.26
1568168758.0911474,+0.8066,+193.75,+0.7701,0,000,+003.26
1568168790.1257865,+0.8068,+193.65,+0.7703,0,000,+003.26
1568168822.156522,+0.8070,+193.55,+0.7705,0,000,+003.26
1568168854.190758,+0.8072,+193.45,+0.7707,0,000,+003.26
1568168886.2263062,+0.8074,+193.35,+0.7710,0,000,+003.26
1568168918.2623549,+0.8076,+193.25,+0.7712,0,000,+003.26
1568168950.298004,+0.8078,+193.15,+0.7714,0,000,+003.26
1568168982.3337367,+0.8080,+193.05,+0.7716,0,000,+003.26
1568169014.3672805,+0.8083,+192.95,+0.7719,0,000,+003.26
1568169046.4013712,+0.8085,+192.85,+0.7721,0,000,+003.26
1568169078.4356048,+0.8087,+192.75,+0.7723,0,000,+003.26
1568169110.4710164,+0.8089,+192.65,+0.7726,0,000,+003.26
1568169142.5050123,+0.8091,+192.56,+0.7728,0,000,+003.26
1568169174.5368817,+0.8093,+192.45,+0.7730,0,000,+003.26
1568169206.557434,+0.8095,+192.35,+0.7732,0,000,+003.26
1568169238.5915658,+0.8097,+192.25,+0.7735,0,000,+003.26
1568169270.6272857,+0.8099,+192.15,+0.7737,0,000,+003.26
1568169302.6573257,+0.8101,+192.05,+0.7739,0,000,+003.26
1568169334.6894655,+0.8103,+191.95,+0.7741,0,000,+003.26
1568169366.7241082,+0.8106,+191.86,+0.7744,0,000,+003.26
1568169398.756519,+0.8108,+191.76,+0.7746,0,000,+003.26
1568169430.792103,+0.8110,+191.65,+0.7748,0,000,+003.26
1568169462.8277812,+0.8112,+191.55,+0.7751,0,000,+003.26
1568169494.858197,+0.8114,+191.46,+0.7753,0,000,+003.26
1568169526.8938696,+0.8116,+191.36,+0.7755,0,000,+003.26
1568169558.9272404,+0.8118,+191.26,+0.7757,0,000,+003.26
1568169590.9603906,+0.8120,+191.16,+0.7760,0,000,+003.26
1568169622.9945326,+0.8122,+191.06,+0.7762,0,000,+003.26
1568169655.030251,+0.8124,+190.96,+0.7764,0,000,+003.26
1568169687.0644302,+0.8126,+190.86,+0.7766,0,000,+003.26
1568169719.099517,+0.8128,+190.77,+0.7769,0,000,+003.26
1568169751.132683,+0.8130,+190.67,+0.7771,0,000,+003.26
1568169783.1654923,+0.8133,+190.56,+0.7773,0,000,+003.26
1568169815.2013128,+0.8135,+190.47,+0.7775,0,000,+003.26
1568169847.2363591,+0.8137,+190.37,+0.7778,0,000,+003.26
1568169879.250136,+0.8139,+190.27,+0.7780,0,000,+003.26
1568169911.2812147,+0.8141,+190.17,+0.7782,0,000,+003.26
1568169943.313347,+0.8143,+190.07,+0.7784,0,000,+003.26
1568169975.3454425,+0.8145,+189.97,+0.7786,0,000,+003.26
1568170007.3779016,+0.8147,+189.87,+0.7789,0,000,+003.26
1568170039.4138956,+0.8149,+189.77,+0.7791,0,000,+003.26
1568170071.4482446,+0.8151,+189.68,+0.7793,0,000,+003.26
1568170103.4797256,+0.8153,+189.58,+0.7796,0,000,+003.26
1568170135.5153372,+0.8155,+189.48,+0.7798,0,000,+003.26
1568170167.5475209,+0.8157,+189.38,+0.7800,0,000,+003.26
1568170199.5826468,+0.8159,+189.28,+0.7802,0,000,+003.26
1568170231.6157355,+0.8161,+189.18,+0.7805,0,000,+003.26
1568170263.6518,+0.8164,+189.08,+0.7807,0,000,+003.26
1568170295.6869454,+0.8166,+188.98,+0.7809,0,000,+003.26
1568170327.7214093,+0.8168,+188.88,+0.7811,0,000,+003.26
1568170359.754705,+0.8170,+188.79,+0.7814,0,000,+003.26
1568170391.7903209,+0.8172,+188.69,+0.7816,0,000,+003.26
1568170423.8224819,+0.8174,+188.59,+0.7818,0,000,+003.26
1568170455.857731,+0.8176,+188.50,+0.7820,0,000,+003.26
1568170487.891301,+0.8178,+188.40,+0.7822,0,000,+003.26
1568170519.9261837,+0.8180,+188.30,+0.7825,0,000,+003.26
1568170551.9554298,+0.8182,+188.20,+0.7827,0,000,+003.26
1568170583.989498,+0.8184,+188.10,+0.7829,0,000,+003.26
