t,kelvin,sensor,htr_range 1,htr_lvl 1,setp 1
1581924347.3931892,"+00.0000,+298.174,+00.0000,+00.0000","+0.00000,+0.52331,+0.00000,+0.00000",0,+000.0,+100.510
1581924352.7225518,"+00.0000,+298.177,+00.0000,+00.0000","+0.00000,+0.52330,+0.00000,+0.00000",0,+000.0,+100.510
1581924358.0583382,"+00.0000,+298.185,+00.0000,+00.0000","+0.00000,+0.52328,+0.00000,+0.00000",0,+000.0,+100.510
1581924363.3959277,"+00.0000,+298.193,+00.0000,+00.0000","+0.00000,+0.52326,+0.00000,+0.00000",0,+000.0,+100.510
1581924368.7242136,"+00.0000,+298.193,+00.0000,+00.0000","+0.00000,+0.52326,+0.00000,+0.00000",0,+000.0,+100.510
1581924374.0585752,"+00.0000,+298.193,+00.0000,+00.0000","+0.00000,+0.52326,+0.00000,+0.00000",0,+000.0,+100.510
1581924379.3976362,"+00.0000,+298.196,+00.0000,+00.0000","+0.00000,+0.52325,+0.00000,+0.00000",0,+000.0,+100.510
1581924384.7265458,"+00.0000,+298.195,+00.0000,+00.0000","+0.00000,+0.52325,+0.00000,+0.00000",0,+000.0,+100.510
1581924390.0610476,"+00.0000,+298.193,+00.0000,+00.0000","+0.00000,+0.52326,+0.00000,+0.00000",0,+000.0,+100.510
1581924395.398924,"+00.0000,+298.191,+00.0000,+00.0000","+0.00000,+0.52327,+0.00000,+0.00000",0,+000.0,+100.510
1581924400.7267191,"+00.0000,+298.188,+00.0000,+00.0000","+0.00000,+0.52327,+0.00000,+0.00000",0,+000.0,+100.510
1581924406.059862,"+00.0000,+298.186,+00.0000,+00.0000","+0.00000,+0.52328,+0.00000,+0.00000",0,+000.0,+100.510
1581924411.4003804,"+00.0000,+298.188,+00.0000,+00.0000","+0.00000,+0.52327,+0.00000,+0.00000",0,+000.0,+100.510
1581924416.7294054,"+00.0000,+298.191,+00.0000,+00.0000","+0.00000,+0.52326,+0.00000,+0.00000",0,+000.0,+100.510
1581924422.0636632,"+00.0000,+298.194,+00.0000,+00.0000","+0.00000,+0.52326,+0.00000,+0.00000",0,+000.0,+100.510
1581924427.399921,"+00.0000,+298.199,+00.0000,+00.0000","+0.00000,+0.52325,+0.00000,+0.00000",0,+000.0,+100.510
1581924432.7279546,"+00.0000,+298.200,+00.0000,+00.0000","+0.00000,+0.52324,+0.00000,+0.00000",0,+000.0,+100.510
1581924438.065544,"+00.0000,+298.199,+00.0000,+00.0000","+0.00000,+0.52324,+0.00000,+0.00000",0,+000.0,+100.510
1581924443.4030523,"+00.0000,+298.195,+00.0000,+00.0000","+0.00000,+0.52325,+0.00000,+0.00000",0,+000.0,+100.510
1581924448.7306316,"+00.0000,+298.185,+00.0000,+00.0000","+0.00000,+0.52328,+0.00000,+0.00000",0,+000.0,+100.510
1581924454.0667489,"+00.0000,+298.181,+00.0000,+00.0000","+0.00000,+0.52329,+0.00000,+0.00000",0,+000.0,+100.510
1581924459.4047012,"+00.0000,+298.175,+00.0000,+00.0000","+0.00000,+0.52330,+0.00000,+0.00000",0,+000.0,+100.510
1581924464.733008,"+00.0000,+298.173,+00.0000,+00.0000","+0.00000,+0.52331,+0.00000,+0.00000",0,+000.0,+100.510
1581924470.0638778,"+00.0000,+298.170,+00.0000,+00.0000","+0.00000,+0.52331,+0.00000,+0.00000",0,+000.0,+100.510
1581924475.4038436,"+00.0000,+298.168,+00.0000,+00.0000","+0.00000,+0.52332,+0.00000,+0.00000",0,+000.0,+100.510
1581924480.730442,"+00.0000,+298.169,+00.0000,+00.0000","+0.00000,+0.52332,+0.00000,+0.00000",0,+000.0,+100.510
1581924486.0693922,"+00.0000,+298.174,+00.0000,+00.0000","+0.00000,+0.52331,+0.00000,+0.00000",0,+000.0,+100.510
1581924491.4071717,"+00.0000,+298.175,+00.0000,+00.0000","+0.00000,+0.52330,+0.00000,+0.00000",0,+000.0,+100.510
1581924496.7362206,"+00.0000,+298.176,+00.0000,+00.0000","+0.00000,+0.52330,+0.00000,+0.00000",0,+000.0,+100.510
1581924502.0710685,"+00.0000,+298.179,+00.0000,+00.0000","+0.00000,+0.52329,+0.00000,+0.00000",0,+000.0,+100.510
1581924507.4078672,"+00.0000,+298.184,+00.0000,+00.0000","+0.00000,+0.52328,+0.00000,+0.00000",0,+000.0,+100.510
1581924512.7369483,"+00.0000,+298.190,+00.0000,+00.0000","+0.00000,+0.52327,+0.00000,+0.00000",0,+000.0,+100.510
1581924518.0721397,"+00.0000,+298.190,+00.0000,+00.0000","+0.00000,+0.52326,+0.00000,+0.00000",0,+000.0,+100.510
1581924523.4103131,"+00.0000,+298.191,+00.0000,+00.0000","+0.00000,+0.52326,+0.00000,+0.00000",0,+000.0,+100.510
1581924528.7388742,"+00.0000,+298.192,+00.0000,+00.0000","+0.00000,+0.52326,+0.00000,+0.00000",0,+000.0,+100.510
1581924534.0732882,"+00.0000,+298.188,+00.0000,+00.0000","+0.00000,+0.52327,+0.00000,+0.00000",0,+000.0,+100.510
1581924539.4117455,"+00.0000,+298.186,+00.0000,+00.0000","+0.00000,+0.52328,+0.00000,+0.00000",0,+000.0,+100.510
1581924544.7410126,"+00.0000,+298.185,+00.0000,+00.0000","+0.00000,+0.52328,+0.00000,+0.00000",0,+000.0,+100.510
1581924550.0708606,"+00.0000,+298.187,+00.0000,+00.0000","+0.00000,+0.52327,+0.00000,+0.00000",0,+000.0,+100.510
1581924555.4130251,"+00.0000,+298.190,+00.0000,+00.0000","+0.00000,+0.52327,+0.00000,+0.00000",0,+000.0,+100.510
1581924560.7403724,"+00.0000,+298.190,+00.0000,+00.0000","+0.00000,+0.52327,+0.00000,+0.00000",0,+000.0,+100.510
1581924566.0756989,"+00.0000,+298.192,+00.0000,+00.0000","+0.00000,+0.52326,+0.00000,+0.00000",0,+000.0,+100.510
1581924571.4142368,"+00.0000,+298.190,+00.0000,+00.0000","+0.00000,+0.52327,+0.00000,+0.00000",0,+000.0,+100.510
1581924576.7430983,"+00.0000,+298.191,+00.0000,+00.0000","+0.00000,+0.52326,+0.00000,+0.00000",0,+000.0,+100.510
1581924582.076927,"+00.0000,+298.191,+00.0000,+00.0000","+0.00000,+0.52326,+0.00000,+0.00000",0,+000.0,+100.510
1581924587.4137545,"+00.0000,+298.194,+00.0000,+00.0000","+0.00000,+0.52326,+0.00000,+0.00000",0,+000.0,+100.510
1581924592.7409782,"+00.0000,+298.199,+00.0000,+00.0000","+0.00000,+0.52325,+0.00000,+0.00000",0,+000.0,+100.510
1581924598.0790758,"+00.0000,+298.197,+00.0000,+00.0000","+0.00000,+0.52325,+0.00000,+0.00000",0,+000.0,+100.510
1581924603.4171314,"+00.0000,+298.195,+00.0000,+00.0000","+0.00000,+0.52326,+0.00000,+0.00000",0,+000.0,+100.510
1581924608.7441845,"+00.0000,+298.197,+00.0000,+00.0000","+0.00000,+0.52325,+0.00000,+0.00000",0,+000.0,+100.510
1581924614.080795,"+00.0000,+298.196,+00.0000,+00.0000","+0.00000,+0.52325,+0.00000,+0.00000",0,+000.0,+100.510
1581924619.4186022,"+00.0000,+298.196,+00.0000,+00.0000","+0.00000,+0.52325,+0.00000,+0.00000",0,+000.0,+100.510
1581924624.7479599,"+00.0000,+298.192,+00.0000,+00.0000","+0.00000,+0.52326,+0.00000,+0.00000",0,+000.0,+100.510
1581924630.081824,"+00.0000,+298.191,+00.0000,+00.0000","+0.00000,+0.52326,+0.00000,+0.00000",0,+000.0,+100.510
1581924635.4198482,"+00.0000,+298.188,+00.0000,+00.0000","+0.00000,+0.52327,+0.00000,+0.00000",0,+000.0,+100.510
1581924640.7490978,"+00.0000,+298.188,+00.0000,+00.0000","+0.00000,+0.52327,+0.00000,+0.00000",0,+000.0,+100.510
1581924646.0831034,"+00.0000,+298.187,+00.0000,+00.0000","+0.00000,+0.52327,+0.00000,+0.00000",0,+000.0,+100.510
1581924651.4199376,"+00.0000,+298.188,+00.0000,+00.0000","+0.00000,+0.52327,+0.00000,+0.00000",0,+000.0,+100.510
