t,Sensor T [K],Sensor V [V],Control T [K],Control V [V],Heater Range [a.u.],Heater % [a.u.],Setpoint T [K]
1560528820.4179113,+006.68,+1.5344,+022.56,+1.1648,1,000,+022.00
1560528846.4462872,+006.68,+1.5345,+022.54,+1.1652,1,000,+022.00
1560528872.476577,+006.68,+1.5346,+022.51,+1.1656,1,000,+022.00
1560528898.5069947,+006.68,+1.5346,+022.49,+1.1661,1,000,+022.00
1560528924.5372112,+006.67,+1.5347,+022.47,+1.1665,1,000,+022.00
1560528950.5676503,+006.67,+1.5347,+022.45,+1.1669,1,000,+022.00
1560528976.597935,+006.67,+1.5348,+022.43,+1.1674,1,000,+022.00
1560529002.6283467,+006.67,+1.5348,+022.40,+1.1678,1,000,+022.00
1560529028.6587725,+006.67,+1.5349,+022.38,+1.1682,1,000,+022.00
1560529054.6875257,+006.67,+1.5349,+022.36,+1.1687,1,000,+022.00
1560529080.7171586,+006.67,+1.5350,+022.34,+1.1691,1,000,+022.00
1560529106.7461894,+006.66,+1.5350,+022.32,+1.1695,1,000,+022.00
1560529132.7765741,+006.66,+1.5351,+022.30,+1.1699,1,000,+022.00
1560529158.806727,+006.66,+1.5351,+022.27,+1.1704,1,000,+022.00
1560529184.8370457,+006.66,+1.5352,+022.25,+1.1708,1,000,+022.00
1560529210.8667657,+006.66,+1.5353,+022.23,+1.1712,1,000,+022.00
1560529236.897,+006.66,+1.5354,+022.21,+1.1716,1,000,+022.00
1560529262.9270627,+006.65,+1.5354,+022.19,+1.1720,1,000,+022.00
1560529288.9579246,+006.65,+1.5355,+022.17,+1.1725,1,000,+022.00
1560529314.988777,+006.65,+1.5355,+022.15,+1.1729,1,000,+022.00
1560529341.0194132,+006.65,+1.5356,+022.13,+1.1733,1,000,+022.00
1560529367.0502174,+006.65,+1.5356,+022.11,+1.1737,1,000,+022.00
1560529393.0807295,+006.65,+1.5356,+022.09,+1.1741,1,000,+022.00
1560529419.1113808,+006.65,+1.5357,+022.07,+1.1745,1,000,+022.00
1560529445.141431,+006.65,+1.5357,+022.05,+1.1749,1,000,+022.00
1560529471.1688974,+006.64,+1.5358,+022.03,+1.1753,1,000,+022.00
1560529497.199238,+006.64,+1.5359,+022.01,+1.1757,1,000,+022.00
1560529523.2294142,+006.64,+1.5359,+021.99,+1.1761,1,000,+022.00
1560529549.2597964,+006.64,+1.5360,+021.97,+1.1765,1,000,+022.00
1560529575.290075,+006.64,+1.5360,+021.95,+1.1769,1,000,+022.00
1560529601.3204653,+006.64,+1.5361,+021.93,+1.1773,1,000,+022.00
1560529627.3506434,+006.64,+1.5361,+021.91,+1.1777,1,000,+022.00
1560529653.3809042,+006.63,,+021.89,+1.1781,1,015,+022.00
1560529679.4112608,+006.63,+1.5362,+021.87,+1.1784,1,020,+022.00
1560529705.4414716,+006.63,+1.5362,+021.86,+1.1786,1,025,+022.00
1560529731.471805,+006.63,+1.5362,+021.86,+1.1786,1,030,+022.00
1560529757.501975,+006.63,+1.5362,+021.86,+1.1785,1,035,+022.00
1560529783.532297,+006.63,+1.5361,+021.88,+1.1782,1,040,+022.00
1560529809.5624917,+006.64,+1.5360,+021.90,+1.1778,1,045,+022.00
1560529835.5927634,+006.64,+1.5359,+021.92,+1.1772,1,045,+022.00
1560529861.6226084,+006.64,+1.5358,+021.95,+1.1766,1,045,+022.00
1560529887.6528368,+006.65,+1.5357,+021.98,+1.1760,1,040,+022.00
1560529913.683161,+006.65,+1.5356,+022.01,+1.1755,1,040,+022.00
1560529939.7134585,+006.65,+1.5355,+022.03,+1.1750,1,035,+022.00
1560529965.7437596,+006.65,+1.5354,+022.05,+1.1747,1,030,+022.00
1560529991.7740097,+006.65,+1.5354,+022.06,+1.1745,1,030,+022.00
1560530017.804373,+006.66,+1.5354,+022.07,+1.1743,1,025,+022.00
1560530043.8345687,+006.66,+1.5354,+022.07,+1.1743,1,025,+022.00
1560530069.8648818,+006.66,+1.5354,+022.07,+1.1744,1,020,+022.00
1560530095.8951805,+006.65,+1.5354,+022.07,+1.1745,1,020,+022.00
1560530121.924355,+006.65,+1.5354,+022.06,+1.1747,1,015,+022.00
1560530147.954987,+006.65,+1.5355,+022.05,+1.1749,1,015,+022.00
1560530173.9854586,+006.65,+1.5355,+022.04,+1.1751,1,015,+022.00
1560530200.0161364,+006.65,+1.5355,+022.02,+1.1753,1,015,+022.00
1560530226.0467844,+006.65,+1.5356,+022.01,+1.1756,1,015,+022.00
1560530252.0771284,+006.65,+1.5356,+022.00,+1.1758,1,015,+022.00
1560530278.1079323,+006.65,+1.5356,+021.99,+1.1761,1,020,+022.00
1560530304.138064,+006.65,+1.5357,+021.98,+1.1763,1,020,+022.00
1560530330.1687279,+006.65,+1.5357,+021.97,+1.1764,1,020,+022.00
1560530356.1993103,+006.64,+1.5357,+021.96,+1.1765,1,025,+022.00
1560530382.2283459,+006.64,+1.5357,+021.96,+1.1766,1,025,+022.00
1560530408.258937,+006.64,+1.5357,+021.96,+1.1767,1,030,+022.00
1560530434.289683,+006.64,+1.5357,+021.96,+1.1767,1,030,+022.00
1560530460.3202271,+006.65,+1.5357,+021.96,+1.1766,1,030,+022.00
1560530486.3506007,+006.65,+1.5357,+021.96,+1.1765,1,030,+022.00
1560530512.3813963,+006.65,+1.5356,+021.97,+1.1763,1,030,+022.00
1560530538.4119043,+006.65,+1.5356,+021.98,+1.1762,1,030,+022.00
1560530564.4426231,+006.65,+1.5355,+021.99,+1.1760,1,030,+022.00
1560530590.4729671,+006.65,+1.5355,+022.00,+1.1758,1,030,+022.00
1560530616.5035074,+006.65,+1.5354,+022.00,+1.1757,1,030,+022.00
1560530642.5342643,+006.65,+1.5354,+022.01,+1.1755,1,030,+022.00
1560530668.5645723,+006.65,+1.5354,+022.02,+1.1754,1,030,+022.00
1560530694.5952783,+006.66,+1.5354,+022.02,+1.1753,1,025,+022.00
1560530720.6256955,+006.66,+1.5354,+022.02,+1.1753,1,025,+022.00
1560530746.6564028,+006.66,+1.5354,+022.02,+1.1753,1,025,+022.00
1560530772.6869576,+006.66,+1.5354,+022.02,+1.1753,1,025,+022.00
1560530798.71765,+006.65,+1.5354,+022.02,+1.1754,1,025,+022.00
1560530824.747545,+006.65,+1.5354,+022.02,+1.1754,1,025,+022.00
1560530850.7781825,+006.65,+1.5354,+022.01,+1.1755,1,025,+022.00
1560530876.808864,+006.65,+1.5354,+022.01,+1.1756,1,025,+022.00
1560530902.8392885,+006.65,+1.5355,+022.01,+1.1757,1,025,+022.00
1560530928.870145,+006.65,+1.5355,+022.00,+1.1757,1,025,+022.00
1560530954.900405,+006.65,+1.5355,+022.00,+1.1758,1,025,+022.00
1560530980.9311624,+006.65,+1.5355,+021.99,+1.1759,1,025,+022.00
1560531006.9619675,+006.65,+1.5356,+021.99,+1.1760,1,025,+022.00
1560531032.9922884,+006.65,+1.5356,+021.99,+1.1760,1,025,+022.00
1560531059.0229094,+006.65,+1.5355,+021.99,+1.1761,1,025,+022.00
1560531085.0532053,+006.65,+1.5356,+021.99,+1.1761,1,025,+022.00
1560531111.0837808,+006.65,+1.5355,+021.99,+1.1761,1,025,+022.00
1560531137.113966,+006.65,+1.5355,+021.99,+1.1761,1,025,+022.00
1560531163.1446173,+006.65,+1.5355,+021.99,+1.1760,1,030,+022.00
1560531189.1750727,+006.65,+1.5355,+021.99,+1.1760,1,030,+022.00
1560531215.2054787,+006.65,+1.5355,+021.99,+1.1759,1,030,+022.00
1560531241.2360213,+006.65,+1.5354,+022.00,+1.1759,1,030,+022.00
1560531267.2664878,+006.65,+1.5354,+022.00,+1.1758,1,030,+022.00
1560531293.2971737,+006.65,+1.5354,+022.00,+1.1758,1,030,+022.00
1560531319.327602,+006.65,+1.5354,+022.00,+1.1757,1,025,+022.00
1560531345.3582666,+006.65,+1.5354,+022.00,+1.1757,1,025,+022.00
1560531371.3888292,+006.65,+1.5354,+022.01,+1.1756,1,025,+022.00
1560531397.4175382,+006.65,+1.5354,+022.01,+1.1756,1,025,+022.00
1560531423.446138,+006.65,+1.5354,+022.01,+1.1756,1,025,+022.00
1560531449.4750578,+006.65,+1.5354,+022.01,+1.1756,1,025,+022.00
1560531475.5031805,+006.65,+1.5354,+022.01,+1.1756,1,025,+022.00
